percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,81,0.9610695119235438,0.002825033449225553,0.08292555809020996,0.030296811411680672,0.9604561227409162,0.0037534854505802593,0.9604561227409162,0.008050266670366995,0.03627067804336548,0.004264843619792848
2,163,0.9653510521954947,0.0029739006748628126,0.15342390537261963,0.035904939393949724,0.9626949030125347,0.002455441317207684,0.9626949030125347,0.0032093356584454356,0.07766950130462646,0.010741478710715905
4,327,0.9688603995790228,0.0013868955731700953,0.2818722724914551,0.05565810060289893,0.9685300452506088,0.0016652544308310144,0.9685300452506088,0.0026438457268615975,0.23234963417053223,0.034059565061814026
5,409,0.9702248126760584,0.0033591413399210106,0.35244840383529663,0.07714706779312583,0.969266265671981,0.0018580643398395796,0.969266265671981,0.0031423158416150443,0.3311916589736939,0.07130651701821128
7,573,0.9713622447385725,0.0017449529633938345,0.5438575744628906,0.07714364434552318,0.969009071336272,0.001192702600607135,0.969009071336272,0.0034903874114970614,0.6026608943939209,0.1437721353362518
9,737,0.9716189122317467,0.0025409619231988602,0.8059504628181458,0.034806465234165834,0.969356953153858,0.001058664587482476,0.969356953153858,0.0025802032961397448,1.0443232655525208,0.2536012416240653
10,819,0.9713808837869281,0.0028382352079713894,0.9317050576210022,0.04727119180634182,0.970130455407641,0.001472317041251462,0.970130455407641,0.0027403274505111903,1.2691008687019347,0.32544818197645126
12,983,0.9697394461946479,0.0025374453560888383,1.2828930616378784,0.16230528416791556,0.9700213270413476,0.0011322309223433331,0.9700213270413476,0.002326656060549111,1.9059825539588926,0.5029976900444608
13,1064,0.9713568096682159,0.002492550135495567,1.455466866493225,0.04710841430375217,0.9704638642002781,0.0012173771856488899,0.9704638642002781,0.0026040721670737167,2.476785171031952,0.5473640437943842
15,1228,0.9717179051241096,0.0017663791004414455,1.8787415027618408,0.1396920411951714,0.9705765196973579,0.0011652683129914027,0.9705765196973579,0.002544977273890055,3.2702447772026058,0.9149336359674594
17,1392,0.9720096473062045,0.0024384006616455962,2.485519289970398,0.08478607469918534,0.9704460391624623,0.0010117437704967051,0.9704460391624623,0.002199711173297892,5.251256299018859,1.3410738107371292
18,1474,0.9722834433303202,0.0022745614455768103,2.8315757513046265,0.16250741253823062,0.9702180947659672,0.001169449266592273,0.9702180947659672,0.00278280730394472,6.5423352241516115,1.740054897173177
20,1638,0.9723062396957824,0.0023136864512547798,3.3097962737083435,0.43204239142346523,0.9703059614317311,0.0008639313361959514,0.9703059614317311,0.00254190990908931,8.978105318546294,1.925785834938335
21,1720,0.9723689965873378,0.0022442053724626753,3.0230129957199097,0.2481668205054659,0.9707735616154796,0.0009314829859483297,0.9707735616154796,0.002454770406874613,10.10388399362564,2.322352638245251
23,1884,0.972277941966533,0.002067506663426725,3.65903639793396,0.27433049137226045,0.9708311083689427,0.0012450092295826676,0.9708311083689427,0.002501894794155086,13.448979306221009,3.092991894039166
25,2048,0.9722844788548872,0.002078422755918834,5.955358803272247,0.7271032760898252,0.970940740634719,0.0009432630107959138,0.970940740634719,0.002594062902172266,16.646838331222533,4.424107398712645
