percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,81,0.6009872430118496,0.5383059322658044,0.04736238718032837,0.005644436025658398,0.9210254487220866,0.005633099313745024,0.9210254487220866,0.013295980615491053,0.03461441993713379,0.0027374910407747376
2,163,0.9335548659141005,0.026799871349490488,0.08853191137313843,0.012813684537374744,0.9451914036361259,0.003289762381263226,0.9451914036361259,0.009374733406446605,0.06666988134384155,0.005218637523168314
4,327,0.954780575526236,0.003227148793234404,0.1646786332130432,0.02744483615554768,0.9544301574681819,0.004060408202665673,0.9544301574681819,0.009705295962976125,0.14564234018325806,0.009672616417732594
5,409,0.9633056113169876,0.0015866264329307707,0.21185576915740967,0.016596842799222612,0.9590136667008232,0.005630090876757005,0.9590136667008232,0.008670130215260849,0.18737571239471434,0.02305664191164188
7,573,0.9644005908045609,0.003178524076007522,0.3416064381599426,0.02348163700515304,0.9629218786395466,0.0035824274142524115,0.9629218786395466,0.0048976317464004895,0.31475391387939455,0.041583778443081115
9,737,0.958621834965819,0.008396042057563875,0.376498818397522,0.009569696215783153,0.960858642003475,0.005044457956672995,0.960858642003475,0.004586163145963386,0.4421645879745484,0.06971274405518259
10,819,0.9555824166431323,0.023634629070681045,0.4601048231124878,0.020408059373239307,0.9632877861959032,0.0026904605291701205,0.9632877861959032,0.0059361489537295906,0.5286450743675233,0.0699083146409015
12,983,0.9598399150415571,0.012271835454634113,0.5212644338607788,0.021375223484284975,0.9625482745988491,0.0026967436627266,0.9625482745988491,0.004275289021314729,0.6778895258903503,0.09355038263895628
13,1064,0.9664877497982831,0.0010411326094323737,0.6291349530220032,0.031066591222056083,0.9655595220626463,0.0016726874540476263,0.9655595220626463,0.006093462080872919,0.7597076177597046,0.11291639562036762
15,1228,0.9658928955193334,0.001804659686793348,0.6755203008651733,0.03440915192448829,0.963973089148733,0.0036159909865519724,0.963973089148733,0.004399855689747998,0.9386587500572204,0.13568039908931476
17,1392,0.9365964465551324,0.05580603940898512,0.7423198819160461,0.012689688746258528,0.9654954675965498,0.0016926654383085128,0.9654954675965498,0.004824673098071475,1.1405121326446532,0.17545710038819862
18,1474,0.9687138324980465,0.00063368519755621,0.9174809455871582,0.0779677789300578,0.9663857130761785,0.0014545963511326844,0.9663857130761785,0.003116505400629876,1.2042910218238831,0.21506932619994015
20,1638,0.9684336992848182,0.0012617041052408846,0.9940251111984253,0.0535900960571273,0.9677840623269955,0.0010723385671086716,0.9677840623269955,0.0028036149591179407,1.4816638827323914,0.2335030223890135
21,1720,0.9706891997757374,0.002285633720128093,1.0357256531715393,0.041687387098819084,0.9641673656318686,0.002669273313819531,0.9641673656318686,0.007211119232121905,1.4736560821533202,0.32494184192772224
23,1884,0.964817453346781,0.007063596228029946,1.1418378353118896,0.03992919746661929,0.9660285649186288,0.0014825908296831514,0.9660285649186288,0.002224180108080081,1.7301289558410644,0.35255472716197206
25,2048,0.9689982234554448,0.0030017335954146034,1.5269059538841248,0.014461287313781303,0.9668076611846457,0.001696885511483759,0.9668076611846457,0.0029167716565615238,2.1889490246772767,0.39014601572780183
