,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,40,0.8751503779802273,0.00757598876953125,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.8741736333949202
1,0.5,40,0.8541132170263646,0.004423856735229492,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.8702061850221223
2,0.5,40,0.8345931817070464,0.004481077194213867,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.1}",0.8642687473722649
3,0.5,40,0.8503944791663014,0.0042209625244140625,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.1}",0.8779104277215304
4,1.0,81,0.8703906252479028,0.009553909301757812,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.001}",0.9139702745231493
5,1.0,81,0.926997089940305,0.0087738037109375,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9187673854583608
6,1.0,81,0.8482557351000839,0.012170791625976562,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9124605339813192
7,1.0,81,0.9116765384953225,0.010339021682739258,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9162977362108462
8,2.0,163,0.9361782749456092,0.0225222110748291,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.001}",0.9359652452736924
9,2.0,163,0.9297820794590312,0.028847932815551758,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9407406902133915
10,2.0,163,0.9502427377925593,0.01472616195678711,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9457721438907274
11,2.0,163,0.9522086394020512,0.013962030410766602,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9476996337045744
12,4.0,327,0.9592048905976179,0.04587912559509277,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.1}",0.9561666595752982
13,4.0,327,0.7079330156868857,0.032624244689941406,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9591759716444553
14,4.0,327,0.9586434008844107,0.03267693519592285,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9569620966085765
15,4.0,327,0.9549313177799114,0.03693890571594238,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.1}",0.9521701439264734
16,6.0,491,0.9636073935051028,0.06881213188171387,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9609672532343169
17,6.0,491,0.9455415769933905,0.05160784721374512,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.961631062822271
18,6.0,491,0.9633175091143105,0.06390905380249023,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.1}",0.9570588181633779
19,6.0,491,0.9556563507783711,0.06471395492553711,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9623274007637237
20,8.0,655,0.9348126881274509,0.0836491584777832,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9626218508423466
21,8.0,655,0.9709465290883944,0.08356785774230957,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.96103024044513
22,8.0,655,0.9621197059658118,0.08595395088195801,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9620556079792937
23,8.0,655,0.9612496637677383,0.0784609317779541,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9636871871990372
24,10.0,819,0.9593901526845369,0.12306094169616699,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.962682713327168
25,10.0,819,0.972013591714098,0.10980916023254395,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9612359635276684
26,10.0,819,0.9628567492438136,0.11401104927062988,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.1}",0.9616920825153628
27,10.0,819,0.9559012413054288,0.11191606521606445,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9650844913347946
28,14.0,1146,0.9675353052423444,0.19165611267089844,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9657987445256907
29,14.0,1146,0.9682608662894553,0.2233259677886963,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9659590951393398
30,14.0,1146,0.9675736284551851,0.16964483261108398,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9662245005381417
31,14.0,1146,0.9537140809031635,0.1592872142791748,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9656339294783874
32,16.0,1310,0.9686910954149021,0.2499701976776123,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.964331228878914
33,16.0,1310,0.9667569276542245,0.2398080825805664,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9665525313198383
34,16.0,1310,0.9699794174745252,0.19118690490722656,"{'regressor__fourier_random_features__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9684752711154575
35,16.0,1310,0.9708637510649418,0.2070939540863037,"{'regressor__fourier_random_features__gamma': 0.0362729401373385, 'regressor__ridge__alpha': 0.01}",0.9671965652858182
