,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,1,0.20869770323719627,0.001538991928100586,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__svm__C': 100.0}",0.191955614005003
1,0.5,1,0.05362951048198994,0.0016100406646728516,"{'regressor__nystroem__gamma': 0.11785113019775793, 'regressor__svm__C': 3.1622776601683795}",0.1480353420054021
2,0.5,1,-0.13915445340034904,0.0015788078308105469,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 100.0}",0.30950275823981627
3,0.5,1,0.21030551979703094,0.0019850730895996094,"{'regressor__nystroem__gamma': 0.11785113019775793, 'regressor__svm__C': 100.0}",0.2740970063807875
4,1.0,2,0.48576595346201135,0.0016672611236572266,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 3.1622776601683795}",0.25061219749422625
5,1.0,2,-0.3831454975761994,0.0015349388122558594,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.3250346971400146
6,1.0,2,-0.23181694618060567,0.0017042160034179688,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 3.1622776601683795}",0.45884395661434924
7,1.0,2,-0.11944056096836397,0.0016851425170898438,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 100.0}",0.3782647471933707
8,2.0,3,0.3793590243020337,0.0015819072723388672,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.5736066970932097
9,2.0,3,0.07403549987352886,0.0015239715576171875,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 3.1622776601683795}",0.48950239350301483
10,2.0,3,0.5528529410581231,0.00146484375,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.523901095082147
11,2.0,3,0.5940510908846688,0.0015971660614013672,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 3.1622776601683795}",0.43438572991349256
12,4.0,5,0.439018707218255,0.0019960403442382812,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 100.0}",0.5702187323276844
13,4.0,5,0.010551322463490553,0.001461029052734375,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.603899645451906
14,4.0,5,0.5923150208313053,0.0020999908447265625,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 100.0}",0.4579778756283309
15,4.0,5,0.3945184496871815,0.0016090869903564453,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__svm__C': 3.1622776601683795}",0.3814350253674875
