,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,1,-1.1974036143411255,0.0015859603881835938,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.31274794877358925
1,0.5,1,-0.05072639812378221,0.0015633106231689453,"{'regressor__nystroem__gamma': 0.11785113019775793, 'regressor__ridge_regression__alpha': 0.1}",0.2755242900232594
2,0.5,1,0.03471722595796478,0.0014929771423339844,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.08341841985758255
3,0.5,1,0.19169648330807765,0.0015168190002441406,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.02550812455755993
4,1.0,2,-0.0023147845189044336,0.0014808177947998047,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.1}",0.32628516244880956
5,1.0,2,-0.2434756756429306,0.0016040802001953125,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.1}",0.34077046694673896
6,1.0,2,-0.1812607318516486,0.001706838607788086,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.1912152153668771
7,1.0,2,0.04810496903328143,0.0014729499816894531,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.415226633746029
8,2.0,3,0.5174253084401128,0.001459360122680664,"{'regressor__nystroem__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.0001}",0.5047782457974235
9,2.0,3,-1.095218664618026,0.0014181137084960938,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.06806895371506357
10,2.0,3,0.1617928559914179,0.0014290809631347656,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.2047795912254903
11,2.0,3,0.5023239769446607,0.0013959407806396484,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.32765102156975906
12,4.0,5,0.21225798622162384,0.001439809799194336,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.4462509617268509
