,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,1,-0.10361222196444997,0.0012369155883789062,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.025118864315095794}",0.18353354482098425
1,0.5,1,-0.07071807629573401,0.0014090538024902344,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 6.30957344480193}",0.2342564825956476
2,0.5,1,-0.17312515844421217,0.0011730194091796875,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.15254602801697031
3,0.5,1,0.07278137253397254,0.0013318061828613281,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 0.3981071705534969}",0.20204297455559592
4,1.0,2,-0.20372959835590754,0.001196146011352539,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 6.30957344480193}",0.2080046305914669
5,1.0,2,0.01105623485842444,0.0012521743774414062,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 6.30957344480193}",0.33034936823236005
6,1.0,2,-0.10934078206491527,0.0011970996856689453,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.23837698659904713
7,1.0,2,0.718393944079342,0.0012118816375732422,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.25435418221382416
8,2.0,3,0.0400164614222287,0.0012819766998291016,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.2669714489911398
9,2.0,3,-0.1664193073348219,0.0013706684112548828,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.4096492175699142
10,2.0,3,0.6046391418121804,0.0012919902801513672,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.5117036065476406
11,2.0,3,-0.4890518315645953,0.001313924789428711,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 6.30957344480193}",0.27153397575246097
12,4.0,5,0.06945724612440585,0.0011510848999023438,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.5142166114520215
13,4.0,5,-0.814651304804074,0.0013439655303955078,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 6.30957344480193}",0.46344649400772564
14,4.0,5,0.6722714537400896,0.0012378692626953125,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.47371929157303666
15,4.0,5,0.731462187829018,0.001313924789428711,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.37260212315145386
16,6.0,7,0.028865953723777427,0.0012369155883789062,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.4456404542271232
17,6.0,7,0.3265426483447733,0.0011239051818847656,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.4841986306721062
18,6.0,7,-0.4809105233338449,0.0011899471282958984,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.47252063606482403
19,6.0,7,-0.1855286867008834,0.001219034194946289,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.49555119627514754
20,8.0,9,0.9595121609646047,0.0013518333435058594,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.6308099072359783
21,8.0,9,0.638302144160448,0.0011870861053466797,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.30139982501219986
22,8.0,9,0.42902141852404774,0.0011489391326904297,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 6.30957344480193}",0.6176463516500696
23,8.0,9,0.8930101841780105,0.0012650489807128906,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.5549965880275654
24,10.0,11,0.04419559653995575,0.0012180805206298828,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 0.3981071705534969}",0.3946016744262939
25,10.0,11,-0.058994023302935794,0.0012938976287841797,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.6982155053263588
26,10.0,11,0.1908663578480707,0.0013427734375,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.4307790435670351
27,10.0,11,0.5646508769236513,0.0012040138244628906,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.5652922864120915
28,14.0,15,-0.38950990145720676,0.0012600421905517578,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.48034923643835115
29,14.0,15,0.7204924196965241,0.0014348030090332031,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.6332629772601059
30,14.0,15,0.9427956834162238,0.0012009143829345703,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.5226543722881919
31,14.0,15,0.22197570029244085,0.0013039112091064453,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.6698411529312616
32,16.0,17,0.6420573793499567,0.0013539791107177734,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 6.30957344480193}",0.4286614794714002
33,16.0,17,0.5711715463017137,0.001806020736694336,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 100.0}",0.54531268859582
34,16.0,17,0.7237201359614078,0.002775907516479492,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 100.0}",0.4492891921035545
35,16.0,17,-0.2988791879473378,0.0012021064758300781,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 6.30957344480193}",0.5825465034650659
36,18.0,19,0.06383007152008324,0.0012311935424804688,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 6.30957344480193}",0.5895474802608134
37,18.0,19,0.6287714032531541,0.0011897087097167969,"{'regressor__fourier_random_features__gamma': 0.027489748141101934, 'regressor__svm__C': 0.3981071705534969}",0.43761723470356156
38,18.0,19,0.23311671623379537,0.0012562274932861328,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.6029683602800576
39,18.0,19,-1.435388785435344,0.0013167858123779297,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.665425362619779
40,20.0,21,0.7571757587061496,0.001249074935913086,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.6354411636987618
41,20.0,21,0.50790805411557,0.001302957534790039,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.6048373693235751
42,20.0,21,0.729103918602896,0.0012481212615966797,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.5935506483416951
43,20.0,21,0.7545267931350808,0.00131988525390625,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.5206442321065405
44,25.0,26,0.38470179723790543,0.0012547969818115234,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__svm__C': 100.0}",0.6468967605635358
45,25.0,26,0.5405846802163365,0.0012590885162353516,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 6.30957344480193}",0.6048765456636505
46,25.0,26,0.3468772490798857,0.0017240047454833984,"{'regressor__fourier_random_features__gamma': 0.0039471785586208275, 'regressor__svm__C': 100.0}",0.6523737308776362
47,25.0,26,0.6145992066662878,0.0012919902801513672,"{'regressor__fourier_random_features__gamma': 0.000566764689645914, 'regressor__svm__C': 100.0}",0.589485384900512
