,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,1,0.45057880642894244,0.0012860298156738281,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",-0.09790147215050918
1,0.5,1,0.06454182605758951,0.0012409687042236328,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.2256365942101362
2,0.5,1,0.053058689687551897,0.0011780261993408203,"{'regressor__fourier_random_features__gamma': 0.11785113019775793, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.08590400541742008
3,0.5,1,-0.3643710005018601,0.0012040138244628906,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.15242553808098008
4,1.0,2,-1.0819825548205908,0.0014350414276123047,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",-0.017782330636007294
5,1.0,2,-0.058665241213928354,0.001203298568725586,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.01252033119208884
6,1.0,2,0.8265620074035884,0.001306772232055664,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.206631640613043
7,1.0,2,-0.760757763863235,0.0011992454528808594,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.12562380346976648
8,2.0,3,0.1920984430184659,0.0012049674987792969,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.1}",0.223745628259738
9,2.0,3,-0.1442857921471694,0.0011217594146728516,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",-0.00640118751544545
10,2.0,3,0.0184760380314265,0.001165151596069336,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.011615303361013508
11,2.0,3,0.11943352672000385,0.0011217594146728516,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.08342111796306466
12,4.0,5,0.026831127233000296,0.0011560916900634766,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",0.3487679260897716
13,4.0,5,0.17055051249239528,0.0012431144714355469,"{'regressor__fourier_random_features__gamma': 0.11785113019775793, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.3541345535009609
14,4.0,5,0.09286183616942867,0.0011630058288574219,"{'regressor__fourier_random_features__gamma': 0.11785113019775793, 'regressor__ridge_regression__alpha': 3.1622776601683795}",-0.20882804543274142
15,4.0,5,0.011860440460813915,0.0011570453643798828,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.14466110991960557
16,6.0,7,-2.6536475669516473,0.0010972023010253906,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5757792398039829
17,6.0,7,0.06528114702033339,0.0012600421905517578,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 3.1622776601683795}",-0.085722412148222
18,6.0,7,0.5391182717212599,0.0012319087982177734,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.2485111468023101
19,6.0,7,-0.13597723492899227,0.001178741455078125,"{'regressor__fourier_random_features__gamma': 8.138020833333333e-05, 'regressor__ridge_regression__alpha': 0.1}",0.34645708958207144
20,8.0,9,0.626773392658402,0.0011513233184814453,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.26339966711843055
