,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,40,0.9260054579575414,0.010125160217285156,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9124677827525666
1,0.5,40,0.91648163578637,0.007761955261230469,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9174950472427973
2,0.5,40,0.8734653215390276,0.035475969314575195,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.908752599028313
3,0.5,40,0.9299314401940885,0.00760197639465332,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.01}",0.9018603883991908
4,1.0,81,0.960955297335374,0.012533187866210938,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9600755951001065
5,1.0,81,0.9556060676406914,0.013184070587158203,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.961059122459529
6,1.0,81,0.9539212725822898,0.026050806045532227,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9604411243002797
7,1.0,81,0.9645001236621197,0.027204036712646484,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9579731484702771
8,2.0,163,0.9651296199033604,0.03343701362609863,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9678769890976209
9,2.0,163,0.9659757263800369,0.07350873947143555,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9657206981643967
10,2.0,163,0.971248163912301,0.030715227127075195,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9656465205810221
11,2.0,163,0.9683179453733358,0.10504794120788574,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9663150880175628
12,4.0,327,0.9695265676411436,0.21964526176452637,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9706664442344991
13,4.0,327,0.9660254527631474,0.13756513595581055,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.969951765514191
14,4.0,327,0.9680934020462477,0.1080777645111084,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9710910433615373
15,4.0,327,0.9722662796333162,0.17845392227172852,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9679846754471306
16,6.0,491,0.9740696003629448,0.1792161464691162,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9686678329812409
17,6.0,491,0.9719121328637845,0.18423986434936523,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9696149880930169
18,6.0,491,0.9713463244509335,0.18087506294250488,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.969348230347804
19,6.0,491,0.9656753977758602,0.24171209335327148,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.97119476213215
20,8.0,655,0.9713052018166584,0.3725912570953369,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9703441537841929
21,8.0,655,0.9713622620775292,0.442410945892334,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9689717645265381
22,8.0,655,0.9725945628094188,0.3674638271331787,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9692110147083881
23,8.0,655,0.9699831506439291,0.2471001148223877,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9683754540683669
24,10.0,819,0.9717393427873652,0.5140810012817383,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9686618985894547
25,10.0,819,0.9714789550432841,0.4117088317871094,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.96854997889575
26,10.0,819,0.9646031482599713,0.3734297752380371,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9701080453532475
27,10.0,819,0.9719687257235377,0.3877980709075928,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9674727305147869
28,14.0,1146,0.9691632671780047,1.4405758380889893,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9712367348780798
29,14.0,1146,0.976140080656751,1.482267141342163,"{'regressor__nystrom__gamma': 0.005208333333333333, 'regressor__ridge__alpha': 0.001}",0.9682112804424996
