,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,10,0.5689651822012631,0.006410121917724609,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 1.0}",0.5968532714076602
1,10,0.5422512157914299,0.0036792755126953125,"{'regressor__nystrom__gamma': 0.041666666666666664, 'regressor__ridge__alpha': 1.0}",0.661668750783881
2,10,0.48204078578751697,0.0031168460845947266,"{'regressor__nystrom__gamma': 0.041666666666666664, 'regressor__ridge__alpha': 10.0}",0.6574810198738466
3,10,0.4745573558855851,0.002964019775390625,"{'regressor__nystrom__gamma': 0.041666666666666664, 'regressor__ridge__alpha': 1.0}",0.6416175764888408
4,20,0.7597086337097585,0.0043332576751708984,"{'regressor__nystrom__gamma': 0.041666666666666664, 'regressor__ridge__alpha': 0.1}",0.7676218898168667
5,20,0.6203163474667298,0.0040738582611083984,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 10.0}",0.7313121110032272
6,20,0.8168072136623561,0.0039670467376708984,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 10.0}",0.7516388550858817
7,20,0.7212296078183478,0.00396728515625,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 10.0}",0.7643736792688912
8,50,0.9136019264625096,0.2716858386993408,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9119776573480396
9,50,0.918023918071264,0.27121877670288086,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.8898433329291222
10,50,0.8903056885646176,0.27132129669189453,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9063010988843809
11,50,0.887146716238973,0.27695393562316895,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 1.0}",0.8967734137274628
12,100,0.9499536215059636,0.5135490894317627,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9319829355695946
13,100,0.9537499280517941,0.42934513092041016,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9335541574642399
14,100,0.934841660811612,0.4437720775604248,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9515987928419782
15,100,0.9455009629544773,0.46186184883117676,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9398464718277412
16,200,0.9569784350751774,0.8175489902496338,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9428098262304211
17,200,0.9622477402682377,0.8183243274688721,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9416422243667208
18,200,0.9322943845962468,0.8290870189666748,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9506077315525385
19,200,0.923490871931601,0.8094110488891602,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9427942424862124
20,500,0.9605714564515886,0.8867449760437012,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9556410382130778
21,500,0.9702906388519599,0.7647192478179932,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9520494109910924
22,500,0.9502339929529279,0.90972900390625,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9623957809407482
23,500,0.9562061621341771,0.8856091499328613,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9611742832058772
24,1000,0.9665046537177056,1.809399127960205,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9601330846211183
25,1000,0.9721659263839422,1.2924442291259766,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.960204253116715
26,1000,0.9563937900495482,1.2723979949951172,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9669764235443921
27,1000,0.9592856629346735,1.49379301071167,"{'regressor__nystrom__gamma': 0.020833333333333332, 'regressor__ridge__alpha': 0.1}",0.9645427246585602
