percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,7,0.7447916666666666,0.011048543456039832,0.004265904426574707,0.0011882106687096361,0.7491004497751124,0.004699605907173862,0.7491004497751124,0.03509982629001796,0.0026230812072753906,0.00027300962272960616
2,15,0.7643229166666667,0.013963288144223457,0.0045160651206970215,0.0007644457099653111,0.7729947526236882,0.013352566479263856,0.7729947526236882,0.03581378872521919,0.0031169533729553224,0.00024062341477204893
4,30,0.7643229166666667,0.03481703634666909,0.006085813045501709,0.00040439942656105276,0.7751499250374813,0.011930022850917578,0.7751499250374813,0.03199828755369352,0.0043948650360107425,0.00019036909750585294
5,38,0.76171875,0.04363436479196889,0.005788445472717285,0.00017600899380209334,0.7747338830584708,0.013816108247953526,0.7747338830584708,0.033182247003636804,0.004159760475158691,9.60075150424724e-05
7,53,0.7747395833333334,0.032185435141427826,0.006521165370941162,0.00013525862075385625,0.7751536731634183,0.01573801393707433,0.7751536731634183,0.03599801103462026,0.004574680328369141,0.00011799058470322633
9,69,0.7721354166666667,0.03652802119558733,0.010072290897369385,0.0012317566149989592,0.7768853073463269,0.012932337569872663,0.7768853073463269,0.03146960664800303,0.007524681091308594,0.003473957328378265
10,76,0.765625,0.040175126615993526,0.026251912117004395,0.007501449820854941,0.7777586206896552,0.01913931689534439,0.7777586206896552,0.030569212092760152,0.012204039096832275,0.0057924964093567614
12,92,0.7747395833333334,0.03989987876574105,0.04086101055145264,0.013152986501519755,0.7764692653673163,0.018493958317491913,0.7764692653673163,0.033505223253053974,0.0076060652732849125,0.0012710728772713517
13,99,0.7669270833333334,0.03904079257959622,0.025772571563720703,0.009337948007440913,0.7777773613193404,0.017081595748903083,0.7777773613193404,0.03453231709137763,0.009662473201751709,0.0023006635932030194
15,115,0.7708333333333334,0.027312730421097695,0.03896588087081909,0.013868394073765496,0.7751686656671665,0.016605013077278425,0.7751686656671665,0.03713309106252881,0.012096965312957765,0.005052798567546979
17,130,0.7708333333333334,0.03827327723098716,0.027179598808288574,0.011023139230097461,0.7738455772113941,0.014343542714340077,0.7738455772113941,0.03342310550042795,0.009323608875274657,0.0012562798736493051
18,138,0.7747395833333334,0.042850215291417526,0.029746711254119873,0.006608077242453832,0.776896551724138,0.016508329546757277,0.776896551724138,0.033193195682784025,0.00970757007598877,0.001372505733926751
20,153,0.7747395833333334,0.030229653037093476,0.03738820552825928,0.004597689096318449,0.7747226386806597,0.01540473376437238,0.7747226386806597,0.0339989017860232,0.010978877544403076,0.0019830348579660062
21,161,0.765625,0.03737682316251909,0.034036874771118164,0.002792665875723398,0.7782046476761619,0.01354955509773452,0.7782046476761619,0.030485531721964984,0.011526930332183837,0.001008655421450565
23,176,0.7682291666666666,0.041747967556982776,0.03874748945236206,0.013712388849704115,0.7781784107946027,0.01607665373577355,0.7781784107946027,0.033258375947453706,0.012038242816925048,0.0013510266705505322
25,192,0.7734375000000001,0.039062500000000014,0.04637014865875244,0.011623130368849587,0.776900299850075,0.0159428848727431,0.776900299850075,0.03308510109034119,0.013528311252593994,0.0017990175020027423
