,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.8072916666666666,0.009071826934814453,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7482908545727136,0.7482908545727136,0.02721841055088661,0.009621477127075196,0.002005772124269892
1,1,7,0.7447916666666666,0.009656906127929688,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7760419790104948,0.7760419790104948,0.039801119015585945,0.00947108268737793,0.00199882757436518
2,1,7,0.7239583333333334,0.014146566390991211,"{'nystroem__gamma': 0.015625, 'svm__C': 100.0}",0.7726386806596701,0.7726386806596701,0.04539956898315145,0.012515878677368164,0.002518194813801896
3,1,7,0.7916666666666666,0.010099172592163086,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7533733133433284,0.7533733133433284,0.0319868501985539,0.009952068328857422,0.0026570949803362853
4,2,15,0.8072916666666666,0.0171663761138916,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7621289355322339,0.7621289355322339,0.04293007044373392,0.014598703384399414,0.001162199966615928
5,2,15,0.7604166666666666,0.010187864303588867,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7829385307346327,0.7829385307346327,0.035464342176390405,0.013078069686889649,0.00043815869809352885
6,2,15,0.734375,0.024816513061523438,"{'nystroem__gamma': 0.015625, 'svm__C': 100.0}",0.7951424287856073,0.7951424287856073,0.029377595903989806,0.0216616153717041,0.004328900793052633
7,2,15,0.8072916666666666,0.011122941970825195,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7586206896551724,0.7586206896551724,0.03973573551088796,0.01098775863647461,0.00218819389414881
8,4,30,0.8125,0.01677846908569336,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7569415292353823,0.7569415292353823,0.036073147945242044,0.013060855865478515,0.002829375000352197
9,4,30,0.7447916666666666,0.013792276382446289,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7847076461769116,0.7847076461769116,0.03460067187503982,0.014447355270385742,0.0009891471851685729
10,4,30,0.7239583333333334,0.019110679626464844,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7985907046476762,0.7985907046476762,0.029942338456304007,0.015301179885864259,0.00026301839711743703
11,4,30,0.8072916666666666,0.04045724868774414,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7586206896551724,0.7586206896551724,0.03973573551088796,0.015350341796875,0.0006542462296643584
12,5,38,0.8125,0.019106149673461914,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7621439280359821,0.7621439280359821,0.036775422909354906,0.015682697296142578,0.000835477786609303
