,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.7916666666666666,0.0015940666198730469,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7725187406296852,0.7725187406296852,0.03113490766293043,0.001585674285888672,0.00033879021369112653
1,1,7,0.7083333333333334,0.0015070438385009766,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7708245877061468,0.7708245877061468,0.038775101748509476,0.002230072021484375,0.0010913568891949253
2,1,7,0.7395833333333334,0.0015821456909179688,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7794902548725637,0.7794902548725637,0.031548218033929716,0.00126190185546875,0.0001530360108767
3,1,7,0.78125,0.0015828609466552734,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7638830584707647,0.7638830584707647,0.04311788820117469,0.0013569355010986327,7.127983476695785e-05
4,2,15,0.8072916666666666,0.0017521381378173828,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7638980509745127,0.7638980509745127,0.0348825529928441,0.001371145248413086,3.889804780753126e-05
5,2,15,0.734375,0.0016770362854003906,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7777961019490255,0.7777961019490255,0.03491098420966254,0.0015888214111328125,0.00015415342217389488
6,2,15,0.7083333333333334,0.0018150806427001953,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7986056971514243,0.7986056971514243,0.02719689768775753,0.0013872146606445312,0.0001414631761337139
7,2,15,0.8125,0.001741170883178711,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7586506746626688,0.7586506746626688,0.043936212020105246,0.0013002872467041016,9.343604343078984e-05
8,4,30,0.7760416666666666,0.03968191146850586,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.767391304347826,0.767391304347826,0.027429235296673925,0.001953744888305664,0.0005971342193649897
9,4,30,0.7552083333333334,0.04110884666442871,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0001}",0.7882458770614693,0.7882458770614693,0.03956448735928259,0.006313610076904297,0.006148394650150488
10,4,30,0.7239583333333334,0.03138399124145508,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8107346326836582,0.8107346326836582,0.037591872762805546,0.010071849822998047,0.012131978695894758
11,4,30,0.8177083333333334,0.017858028411865234,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7586206896551724,0.7586206896551724,0.03935330900825709,0.012976884841918945,0.01392091748470288
12,5,38,0.7916666666666666,0.03181314468383789,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7725637181409295,0.7725637181409295,0.03498416502111813,0.004287290573120117,0.00406319527684035
13,5,38,0.765625,0.029187679290771484,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7813343328335832,0.7813343328335832,0.05385089466447259,0.0059833526611328125,0.004704624911089534
14,5,38,0.7239583333333334,0.03234100341796875,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055472263868065,0.8055472263868065,0.04354438439752118,0.008153772354125977,0.01220927619649835
15,5,38,0.8177083333333334,0.018931150436401367,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655472263868066,0.7655472263868066,0.04039976548092603,0.014617633819580079,0.010912224408026866
16,7,53,0.796875,0.22766971588134766,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.02487807273864746,0.01701464144103049
17,7,53,0.734375,0.13696002960205078,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7760419790104948,0.7760419790104948,0.03031043793269351,0.010626649856567383,0.011654125707982958
18,7,53,0.71875,0.17751502990722656,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8090104947526238,0.8090104947526238,0.045415666917405756,0.008125209808349609,0.0050552514454302935
19,7,53,0.8177083333333334,0.18925690650939941,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.010190200805664063,0.003967339701002471
20,9,69,0.796875,0.3466989994049072,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.009284210205078126,0.010361492332081284
21,9,69,0.765625,0.2653529644012451,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7795652173913044,0.7795652173913044,0.05708084672096106,0.0029687881469726562,0.0010900938595833172
22,9,69,0.7135416666666666,0.23736286163330078,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055472263868066,0.8055472263868066,0.03550989625484407,0.012025737762451172,0.009476240478528528
23,9,69,0.8177083333333334,0.31847500801086426,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.07524271011352539,0.03392998245164207
24,10,76,0.796875,0.24646615982055664,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.014519262313842773,0.0169464502868899
25,10,76,0.765625,0.3669710159301758,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7778260869565217,0.7778260869565217,0.05602456927945951,0.014301300048828125,0.014654158789494297
26,10,76,0.7291666666666666,0.3627181053161621,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8020839580209895,0.8020839580209895,0.037452354671766934,0.02073330879211426,0.021080899816258637
27,10,76,0.8177083333333334,0.4703207015991211,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.03345804214477539,0.015710571707091118
28,12,92,0.796875,0.4550919532775879,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.009499597549438476,0.007818103798928057
29,12,92,0.7604166666666666,0.45207881927490234,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7778260869565218,0.7778260869565218,0.05438085952610285,0.0065460681915283205,0.0037172459192948925
30,12,92,0.71875,0.4380218982696533,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8038230884557722,0.8038230884557722,0.03137017956295671,0.003731966018676758,0.0012840714977502426
31,12,92,0.8177083333333334,0.5576808452606201,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.007163906097412109,0.006732665386934513
32,13,99,0.796875,0.4148528575897217,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.03200631141662598,0.02089116187634944
