,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.8020833333333334,0.004284381866455078,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7603748125937032,0.7603748125937032,0.04541059856473348,0.004163885116577148,0.00041890692829412503
1,1,7,0.7447916666666666,0.003551959991455078,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7847526236881559,0.7847526236881559,0.032025321581091455,0.004475593566894531,0.0008364573264829847
2,1,7,0.7291666666666666,0.003419637680053711,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7621589205397302,0.7621589205397302,0.055127548409526696,0.004260587692260742,0.00042901406144008183
3,1,7,0.7083333333333334,0.003504037857055664,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7551574212893553,0.7551574212893553,0.03893020626903497,0.004278993606567383,0.0009560808645282484
4,2,15,0.78125,0.003850221633911133,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7691154422788605,0.7691154422788605,0.03700932271212074,0.004673290252685547,0.0006772479464979002
5,2,15,0.7395833333333334,0.0037734508514404297,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7794902548725637,0.7794902548725637,0.039239183242902174,0.0044059276580810545,0.0008562662237520311
6,2,15,0.7291666666666666,0.0037534236907958984,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7933433283358321,0.7933433283358321,0.033931795493502864,0.0057830810546875,0.00029472000572753075
7,2,15,0.796875,0.0038013458251953125,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7638380809595203,0.7638380809595203,0.035248699530106536,0.005866193771362304,0.0019156749459785434
8,4,30,0.8020833333333334,0.004334688186645508,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7639130434782608,0.7639130434782608,0.03646994256610569,0.005077075958251953,0.001087998899782502
9,4,30,0.7239583333333334,0.005525112152099609,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7847376311844078,0.7847376311844078,0.034411555454707365,0.00667719841003418,0.000162501346267771
