,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,64,0.8445328335946762,0.12132024765014648,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8411292273982462,0.8411292273982462,0.004566566426990566,0.05712690353393555,0.013172460033348843
1,2,128,0.8448387960377863,0.16823124885559082,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8409737075375455,0.8409737075375455,0.00454300873228541,0.11232080459594726,0.013834215755929528
2,4,256,0.8454124756186178,0.22397136688232422,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8428438369023459,0.8428438369023459,0.005544669385443824,0.2237070083618164,0.011708583493283655
3,5,320,0.8461391364210044,0.3145432472229004,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8423759397764844,0.8423759397764844,0.003866966979630232,0.2911048889160156,0.0497192935581066
4,7,448,0.8450682678701189,0.39296436309814453,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8425325539911699,0.8425325539911699,0.004189821859311193,0.5094180583953858,0.0760532116333412
5,9,577,0.8443416070677324,0.6400036811828613,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8420649000550824,0.8420649000550824,0.003546124369659839,0.7670913219451905,0.14896307514727297
6,10,641,0.8456419474509504,0.6880919933319092,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8417524011950345,0.8417524011950345,0.0033798591394520647,1.0113611221313477,0.18487012092468
7,12,769,0.8452594943970627,0.9964632987976074,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8429998431425956,0.8429998431425956,0.0031329062351269266,1.43283109664917,0.21884579682868455
8,13,833,0.8457949286725055,1.0401883125305176,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8420644136755339,0.8420644136755339,0.0026251166236593124,1.7266164779663087,0.2687862284713572
9,15,962,0.8454507209240065,1.218991994857788,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8429995999528211,0.8429995999528211,0.0038722345418376403,2.395728254318237,0.48144382624628246
10,17,1090,0.8454507209240065,1.4647579193115234,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8429999647374828,0.8429999647374828,0.0041606045556085314,3.2646864891052245,0.7027632012989404
11,18,1154,0.8455654568401728,1.643589735031128,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8423759397764844,0.8423759397764844,0.0028969686749104107,3.8533680915832518,0.8589283701474683
12,20,1282,0.8444563429838987,1.9257240295410156,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8411292273982462,0.8411292273982462,0.0038757610212411604,5.053501319885254,1.1487034457084124
13,21,1346,0.8459861551994493,2.2208473682403564,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8423760613713714,0.8423760613713714,0.0035334072957847523,5.949575042724609,1.2723811954403161
14,23,1475,0.8441121352353999,2.656254529953003,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8409734643477711,0.8409734643477711,0.004551017635741334,7.345767974853516,2.133217249216969
15,25,1603,0.8452594943970627,3.1965816020965576,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8415965165496722,0.8415965165496722,0.0031709542561489,9.851962566375732,1.7486119954645742
