percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,2,0.774,0.027928480087537906,0.001918196678161621,0.00011002397468104245,0.776,0.007774602526460335
1.0,5,0.778,0.028495613697550003,0.002331972122192383,0.00028960375153114806,0.7833333333333333,0.002211083193570282
2.0,10,0.768,0.02400000000000002,0.018073856830596924,0.006272729682439273,0.7853333333333332,0.0071802197428460085
4.0,20,0.8,0.04489988864128728,0.032154977321624756,0.008386411167538466,0.8160000000000001,0.00653197264742186
6.0,30,0.79,0.01907878402833889,0.027116775512695312,0.008980141887470908,0.8126666666666668,0.014772346537440263
8.0,40,0.812,0.03509985754956847,0.05354416370391846,0.005348058525688849,0.822,0.01183215956619916
10.0,50,0.808,0.009797958971132677,0.15115195512771606,0.041314344187900975,0.8220000000000001,0.007630348761506418
14.0,70,0.808,0.04560701700396551,0.34235090017318726,0.04138277193336008,0.8173333333333332,0.010241527663824778
16.0,80,0.792,0.0344093010681705,0.38339442014694214,0.021015966249163968,0.8153333333333332,0.008919392106839733
18.0,90,0.79,0.01907878402833889,0.40182602405548096,0.025228339345677912,0.8206666666666667,0.003944053188732999
20.0,100,0.81,0.03504283093587045,0.4052202105522156,0.04854300592039383,0.8266666666666667,0.011469767022723447
25.0,125,0.8119999999999999,0.03224903099319418,0.3951535224914551,0.040158633148780605,0.8286666666666667,0.019078784028338878
