,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,2,0.8,0.002079010009765625,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.7706666666666667
1,0.5,2,0.728,0.0018167495727539062,"{'nystroem__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7893333333333332
2,0.5,2,0.792,0.0019609928131103516,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 100.0}",0.7706666666666667
3,0.5,2,0.776,0.0018160343170166016,"{'nystroem__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7733333333333333
4,1.0,5,0.816,0.002410888671875,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.7813333333333332
5,1.0,5,0.784,0.002222776412963867,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.784
6,1.0,5,0.736,0.0019490718841552734,"{'nystroem__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7866666666666666
7,1.0,5,0.776,0.0027451515197753906,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.7813333333333333
8,2.0,10,0.776,0.016942262649536133,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.7973333333333333
9,2.0,10,0.728,0.011770009994506836,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.784
10,2.0,10,0.776,0.015130996704101562,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 100.0}",0.7786666666666667
11,2.0,10,0.792,0.028452157974243164,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.7813333333333332
12,4.0,20,0.84,0.03284311294555664,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.8053333333333332
13,4.0,20,0.848,0.021575212478637695,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.8213333333333332
14,4.0,20,0.768,0.02935481071472168,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.8160000000000001
15,4.0,20,0.744,0.04484677314758301,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 100.0}",0.8213333333333335
16,6.0,30,0.768,0.02664327621459961,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 100.0}",0.8026666666666668
17,6.0,30,0.776,0.015519142150878906,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.8373333333333335
18,6.0,30,0.816,0.04073476791381836,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.8
19,6.0,30,0.8,0.025569915771484375,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.8106666666666668
20,8.0,40,0.8,0.0465850830078125,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 100.0}",0.8240000000000001
21,8.0,40,0.84,0.06100821495056152,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.8266666666666665
22,8.0,40,0.76,0.05554318428039551,"{'nystroem__gamma': 8.982555655316915e-05, 'svm__C': 100.0}",0.8346666666666666
23,8.0,40,0.848,0.0510401725769043,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.8026666666666668
24,10.0,50,0.8,0.22029519081115723,"{'nystroem__gamma': 0.011497671238805652, 'svm__C': 3.1622776601683795}",0.8346666666666668
25,10.0,50,0.824,0.11512589454650879,"{'nystroem__gamma': 0.0010162601626016261, 'svm__C': 100.0}",0.8213333333333335
