,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,2,0.8,0.002878904342651367,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.7706666666666666
1,0.5,2,0.744,0.0017940998077392578,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.7866666666666667
2,0.5,2,0.784,0.001764059066772461,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0001}",0.7786666666666667
3,0.5,2,0.768,0.0017740726470947266,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.7893333333333333
4,1.0,5,0.8,0.0018219947814941406,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0001}",0.784
5,1.0,5,0.784,0.0017728805541992188,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.7733333333333333
6,1.0,5,0.752,0.0016756057739257812,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8
7,1.0,5,0.776,0.0018169879913330078,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7893333333333333
8,2.0,10,0.784,0.01639413833618164,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0001}",0.8053333333333332
9,2.0,10,0.8,0.022935867309570312,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8106666666666665
10,2.0,10,0.824,0.027772903442382812,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8133333333333332
11,2.0,10,0.832,0.028326034545898438,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7946666666666665
12,4.0,20,0.792,0.0289459228515625,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8080000000000002
13,4.0,20,0.704,0.014260053634643555,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.8426666666666666
14,4.0,20,0.752,0.011168241500854492,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8160000000000001
15,4.0,20,0.84,0.03489398956298828,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.808
16,6.0,30,0.872,0.022235870361328125,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8053333333333332
17,6.0,30,0.736,0.013467073440551758,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8373333333333333
18,6.0,30,0.856,0.032670021057128906,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7973333333333333
19,6.0,30,0.8,0.09736895561218262,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.8160000000000001
20,8.0,40,0.84,0.07766890525817871,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8480000000000001
21,8.0,40,0.808,0.040789127349853516,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0001}",0.8426666666666666
22,8.0,40,0.808,0.06192898750305176,"{'nystroem__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.8373333333333333
23,8.0,40,0.816,0.05955314636230469,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8346666666666668
24,10.0,50,0.832,0.20750212669372559,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8240000000000001
25,10.0,50,0.848,0.18651318550109863,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8240000000000001
26,10.0,50,0.864,0.17400693893432617,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8266666666666668
27,10.0,50,0.792,0.24579787254333496,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8373333333333333
