,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,2,0.744,0.0015201568603515625,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.784
1,0.5,2,0.768,0.0015878677368164062,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.776
2,0.5,2,0.744,0.0016200542449951172,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.784
3,0.5,2,0.84,0.0016012191772460938,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.752
4,1.0,5,0.744,0.00168609619140625,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.784
5,1.0,5,0.768,0.0024819374084472656,"{'fourier_random_features__gamma': 0.0026819266479123837, 'svm__C': 100.0}",0.7786666666666667
6,1.0,5,0.8,0.0016810894012451172,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7653333333333332
7,1.0,5,0.784,0.0015490055084228516,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7706666666666667
8,2.0,10,0.76,0.014505863189697266,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7786666666666666
9,2.0,10,0.76,0.0222017765045166,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'svm__C': 0.0001}",0.7786666666666667
10,2.0,10,0.768,0.0311279296875,"{'fourier_random_features__gamma': 0.0026819266479123837, 'svm__C': 100.0}",0.7786666666666667
11,2.0,10,0.808,0.025054216384887695,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.7706666666666665
12,4.0,20,0.768,0.02879810333251953,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.7973333333333332
13,4.0,20,0.816,0.03018975257873535,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.7813333333333333
14,4.0,20,0.776,0.03591299057006836,"{'fourier_random_features__gamma': 0.0026819266479123837, 'svm__C': 6.30957344480193}",0.792
15,4.0,20,0.784,0.015776872634887695,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.784
16,6.0,30,0.752,0.04404401779174805,"{'fourier_random_features__gamma': 0.0026819266479123837, 'svm__C': 100.0}",0.8106666666666668
17,6.0,30,0.848,0.018027067184448242,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.792
18,6.0,30,0.824,0.02575087547302246,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8053333333333335
19,6.0,30,0.784,0.03943514823913574,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.7946666666666666
20,8.0,40,0.856,0.03778791427612305,"{'fourier_random_features__gamma': 0.0026819266479123837, 'svm__C': 100.0}",0.7946666666666667
21,8.0,40,0.784,0.02205824851989746,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8213333333333332
22,8.0,40,0.76,0.0069620609283447266,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.784
23,8.0,40,0.808,0.023684263229370117,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.7866666666666667
24,10.0,50,0.752,0.0367732048034668,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8266666666666665
25,10.0,50,0.856,0.02981114387512207,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.776
26,10.0,50,0.76,0.02326202392578125,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8293333333333333
