,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,2,0.744,0.0041768550872802734,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.784
1,0.5,2,0.776,0.0014050006866455078,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0031622776601683794}",0.7786666666666667
2,0.5,2,0.768,0.0014102458953857422,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.7786666666666667
3,0.5,2,0.808,0.0014328956604003906,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0031622776601683794}",0.7653333333333332
4,1.0,5,0.704,0.0016629695892333984,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7946666666666667
5,1.0,5,0.76,0.0013730525970458984,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.7813333333333334
6,1.0,5,0.776,0.001505136489868164,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0031622776601683794}",0.7786666666666666
7,1.0,5,0.816,0.001444101333618164,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.776
8,2.0,10,0.872,0.022830963134765625,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7626666666666667
9,2.0,10,0.736,0.08437085151672363,"{'fourier_random_features__gamma': 0.011497671238805652, 'ridge_classification__alpha': 0.0001}",0.7999999999999999
10,2.0,10,0.768,0.03312110900878906,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8026666666666665
11,2.0,10,0.76,0.03527021408081055,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.792
12,4.0,20,0.792,0.045819997787475586,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.7973333333333333
13,4.0,20,0.808,0.025126934051513672,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.808
14,4.0,20,0.824,0.024989843368530273,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7946666666666667
15,4.0,20,0.696,0.012510299682617188,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0001}",0.8213333333333332
16,6.0,30,0.776,0.051023244857788086,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8026666666666668
17,6.0,30,0.84,0.026144027709960938,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7893333333333332
18,6.0,30,0.792,0.04082798957824707,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8213333333333335
19,6.0,30,0.768,0.01996326446533203,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8026666666666668
20,8.0,40,0.768,0.019567012786865234,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0001}",0.8320000000000001
21,8.0,40,0.824,0.022856950759887695,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8400000000000001
22,8.0,40,0.784,0.04711484909057617,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8026666666666668
23,8.0,40,0.848,0.03248715400695801,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8133333333333332
24,10.0,50,0.848,0.015135049819946289,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8160000000000001
25,10.0,50,0.816,0.07974076271057129,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8320000000000001
26,10.0,50,0.816,0.01706385612487793,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8320000000000001
27,10.0,50,0.792,0.02917933464050293,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8240000000000001
28,14.0,70,0.84,0.07040095329284668,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8213333333333332
29,14.0,70,0.816,0.1063380241394043,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8240000000000001
30,14.0,70,0.84,0.08959412574768066,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8133333333333332
31,14.0,70,0.792,0.13970613479614258,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.0031622776601683794}",0.8213333333333332
32,16.0,80,0.848,0.11642813682556152,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8186666666666668
33,16.0,80,0.832,0.1385807991027832,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8533333333333333
34,16.0,80,0.848,0.11757016181945801,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8266666666666665
35,16.0,80,0.776,0.14028477668762207,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.8373333333333335
36,18.0,90,0.84,0.19550681114196777,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8266666666666668
