n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
4,0.3836539156296641,0.06087132433528102,0.0015035271644592285,0.00042928780912579803,0.40664477070602,0.019063848421079947
6,0.42722574437121263,0.09180137124376149,0.0013023614883422852,2.8890242816355133e-05,0.46081151922729324,0.013468041667716807
8,0.4560465688031715,0.02572064417416915,0.001342475414276123,3.0751087014933444e-05,0.4905515167479094,0.015798783214074467
10,0.5109897106306958,0.03187907382804331,0.0014137625694274902,5.186039122607259e-05,0.5064560165774494,0.014530710830286344
20,0.5295902352202262,0.01107600800418814,0.0018854737281799316,9.89355771904433e-05,0.5506361958188439,0.006661395272306689
31,0.44592549754720434,0.17538110194933287,0.0025252103805541992,0.0003758498758735434,0.553439336249431,0.00845374736293737
41,0.5680416303099539,0.03377919011448159,0.003062903881072998,0.0003230514726012406,0.5643502152714304,0.009336742765225238
125,0.5747766980008051,0.00984728541633302,0.015595674514770508,0.011676702038356688,0.5733337457318819,0.004451705271300125
208,0.5752435919848505,0.01823790570015949,0.011430084705352783,0.00034202295590973915,0.5711390922584756,0.0038332739975518765
292,0.5718161239355701,0.01886010672148311,0.017177045345306396,0.0006993554044051841,0.5739430916843374,0.005121338270518414
417,0.5762738141199262,0.011966690691301043,0.027402400970458984,0.0013827885116565247,0.5758244668143575,0.004414596777768676
626,0.5798392006278152,0.03851499280972283,0.043187856674194336,0.0020496018376299934,0.5750380991129845,0.01440248548919131
835,0.5715277754838675,0.027335261990608387,0.06324344873428345,0.002870468879878905,0.5757412577346719,0.006522724224608953
1044,0.5722479874521547,0.013476400603832584,0.08445227146148682,0.004516529612538485,0.5759610180117288,0.0050094268771015615
1378,0.5790927885837209,0.01493840278993317,0.14617300033569336,0.021910183491177796,0.5773302266289844,0.006845344858482608
