percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
0.5,417,0.5587514926920985,0.022699791891221694,1.7056959867477417,0.34428017192188975,0.5606427746196585,0.007183958305735567
1.0,835,0.5630525309958943,0.012105616277938238,5.194290399551392,0.24682429435212072,0.5611890988250818,0.00485493354095129
2.0,167,0.5592218855559459,0.023006234164613785,1.0200082659721375,0.22225812171808212,0.5582093540951771,0.012027955909532114
4.0,584,0.5627471335532159,0.02116021502005918,3.0388291478157043,0.24115816329999254,0.5618282847435583,0.008993358815535897
6.0,41,0.5410783489475633,0.030671555703947168,0.7944090962409973,0.2982075199089628,0.5477282546791961,0.008897764745843535
8.0,334,0.562967039671362,0.004891247269055544,1.4348161816596985,0.3293793054859037,0.5624162311653069,0.002746808760036524
10.0,751,0.5567134991102624,0.032029051082964395,5.060740232467651,0.3075564054782398,0.5623438808886505,0.008212510105291474
14.0,83,0.5526454708212615,0.037166641139204,0.9009554982185364,0.29527267900575527,0.5545960301797246,0.00913086267274763
16.0,20,0.5438578126227415,0.02546902972317445,0.7180089950561523,0.2588846033404014,0.5259327148580382,0.015437623309721319
18.0,1044,0.566659032164849,0.021327010727330217,7.001676082611084,0.27864443625839125,0.5627319810608733,0.005527302895652672
20.0,250,0.5609084955419217,0.019788965239662667,1.19107985496521,0.3362351781395373,0.5628219054742474,0.006364776074981148
25.0,668,0.5613017941193553,0.01513400610224263,4.298962831497192,0.5454272137364998,0.5635553639075458,0.004236206207631405
