percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,41,0.5511986734262878,0.028488942400606686,0.020623326301574707,0.007040367378922042,0.5562581086294035,0.01105276522866392,0.5562581086294035,0.027538499169976506
2,83,0.5397279144596105,0.07014113957229985,0.040218889713287354,0.014629486126308286,0.5657626539038902,0.01047596239286795,0.5657626539038902,0.024822846412221083
4,167,0.5693492184699327,0.03135107734403397,0.04992640018463135,0.011209361362847371,0.5678184201008789,0.008428634980504397,0.5678184201008789,0.023851445481087048
5,208,0.5683560675783532,0.023414350977251207,0.05599099397659302,0.005389727558672477,0.5685284513594492,0.009752108090921904,0.5685284513594492,0.027922588108260257
7,292,0.5393365613477743,0.07074225455277817,0.08050298690795898,0.021619033282695158,0.5703680125497527,0.011006210239541799,0.5703680125497527,0.025834829334181818
9,375,0.5608152808521579,0.03050385561695882,0.120144784450531,0.028046562710505492,0.5693624826628936,0.010889234377747584,0.5693624826628936,0.025719629721241935
10,417,0.5688047201339979,0.031476325996263474,0.10734051465988159,0.012534034205194186,0.5704175686068604,0.011165862047258715,0.5704175686068604,0.024543414804055606
12,501,0.555956733322388,0.04400096957206079,0.14529788494110107,0.012557702480455981,0.5702519780625603,0.010566049406705134,0.5702519780625603,0.025454198087837644
13,543,0.5692558454483754,0.02549631363871344,0.12909579277038574,0.0022989870351226216,0.5697908097136621,0.009814266041725583,0.5697908097136621,0.027455983325306632
15,626,0.5649505398114953,0.029743428721603665,0.19174069166183472,0.04429389325590535,0.5699052885094199,0.00939024883307898,0.5699052885094199,0.028050641585335302
17,710,0.5705053080289924,0.02520029090135022,0.21611201763153076,0.03354408681639274,0.5702019045289051,0.010870837896489648,0.5702019045289051,0.025958763805371387
18,751,0.56982795754233,0.025488217768640912,0.20712685585021973,0.024812439020957942,0.5703490598724907,0.01031116119937168,0.5703490598724907,0.026326015651299703
20,835,0.5737560605378884,0.030152921967920257,0.26254338026046753,0.018913479398509337,0.5705492092013975,0.011255247723025528,0.5705492092013975,0.02631292040461308
21,877,0.5720496196030443,0.02963379709657784,0.2792509198188782,0.017496729723309887,0.5712369473051205,0.010440213186616457,0.5712369473051205,0.027222259335498
23,960,0.5695794080042997,0.02590863926339,0.3316341042518616,0.021924172301536583,0.5708375140297348,0.009574171525049302,0.5708375140297348,0.02561173914522448
25,1044,0.5662716696656068,0.02787344594337582,0.35258787870407104,0.01832655864606133,0.5700039213318009,0.01069226021562087,0.5700039213318009,0.024326446825328786
