n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV
4,0.42061498653546336,0.061646732913559564,0.002194643020629883,0.0011382534948205247,0.43273964761667877,0.02154792226892889
6,0.46010016368857853,0.045683197356343956,0.00159454345703125,2.6661871175216392e-05,0.4820480263606647,0.017931252091658936
8,0.5215823085026806,0.01988424706165486,0.0016440153121948242,1.5676361522687218e-05,0.5153896074865167,0.009117422347719839
10,0.5130382880346664,0.03355865531260125,0.0020713210105895996,0.00030589602529326645,0.5320377132273834,0.008299674453195963
20,0.5640355845185223,0.019884161183285145,0.007973909378051758,0.0033488861768919687,0.5601220037600942,0.004420998185166396
31,0.5578478987210497,0.025323741646968868,0.009589076042175293,0.008521275987203468,0.567162266749856,0.010821249056927752
41,0.5757394318833122,0.026700014769075388,0.01443326473236084,0.005929339689143283,0.5718846158315697,0.00971898356039244
125,0.5792836129362279,0.021781090875129007,0.05508732795715332,0.01901917232552139,0.5776562753279808,0.007731688111872815
208,0.5781449197592871,0.01655611922646651,0.05652177333831787,0.026826359334114747,0.5746071276450209,0.005244029288336762
292,0.5800530417807774,0.013329312118987057,0.16799867153167725,0.11321197607409889,0.5757345859793825,0.0056704245155929185
417,0.5824501035577871,0.008193634109721765,0.10835134983062744,0.03382048727103399,0.5786997657529349,0.002199483845124759
626,0.5799440397992233,0.016036516918790957,0.19873905181884766,0.03822337844375955,0.5753635117678331,0.005211713145733028
835,0.5806482380010269,0.007397666127666626,0.3675280213356018,0.07929350605993371,0.5791806213882273,0.0024472128060678373
1044,0.5760832153484362,0.014595219265533322,0.5303893685340881,0.03965695197438776,0.5740385358319968,0.004808610953857745
1378,0.577086326741367,0.01517753368566468,1.036536693572998,0.05377077108421423,0.5765105932937742,0.0043313199641513535
