,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,20,0.5565983364592211,0.48628711700439453,"{'regressor__fourier_random_features__gamma': 0.00048828125, 'regressor__svr__C': 5623.413251903491, 'regressor__svr__epsilon': 0.09921256574801246}",0.4759073163462042
1,0.5,20,0.5393004467347786,0.12227296829223633,"{'regressor__fourier_random_features__gamma': 0.0031003926796253885, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.6299605249474365}",0.5508653976364417
2,0.5,20,0.17131927451127982,0.19969916343688965,"{'regressor__fourier_random_features__gamma': 0.00048828125, 'regressor__svr__C': 5623.413251903491, 'regressor__svr__epsilon': 0.6299605249474365}",0.5510017385598742
3,0.5,20,0.5526805451204516,0.2732279300689697,"{'regressor__fourier_random_features__gamma': 0.0031003926796253885, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.09921256574801246}",0.43522566518485295
4,1.0,41,0.5641925580149784,0.20023202896118164,"{'regressor__fourier_random_features__gamma': 0.00048828125, 'regressor__svr__C': 5623.413251903491, 'regressor__svr__epsilon': 0.6299605249474365}",0.5487517513646678
5,1.0,41,0.5471882835427226,0.0997629165649414,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5601881505146913
6,1.0,41,0.30990869946143285,1.6002697944641113,"{'regressor__fourier_random_features__gamma': 0.00048828125, 'regressor__svr__C': 100000.0, 'regressor__svr__epsilon': 0.6299605249474365}",0.5611117728566607
7,1.0,41,0.5666666759886526,0.31163525581359863,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.015625}",0.5319813278471844
8,2.0,83,0.5507905540160882,0.14459800720214844,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5640720240457398
9,2.0,83,0.5548136168852383,0.4587221145629883,"{'regressor__fourier_random_features__gamma': 0.0031003926796253885, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.09921256574801246}",0.5484813078994343
10,2.0,83,0.5259897247343304,0.1695549488067627,"{'regressor__fourier_random_features__gamma': 0.0031003926796253885, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.6299605249474365}",0.5703502952560836
11,2.0,83,0.5319167357709299,0.4562239646911621,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.015625}",0.5492347470872325
12,4.0,167,0.5314396756996131,0.6326737403869629,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.09921256574801246}",0.5656363303488587
13,4.0,167,0.5464177094529028,0.22206473350524902,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.571509717611916
14,4.0,167,0.5524481620286291,0.8200418949127197,"{'regressor__fourier_random_features__gamma': 0.0031003926796253885, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.015625}",0.5579636925132618
15,4.0,167,0.5987907314054581,0.22406005859375,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5564126442931308
16,6.0,250,0.6036647502357739,0.32843613624572754,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5451204148787768
17,6.0,250,0.5577244526280788,0.31470799446105957,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5665281736021031
18,6.0,250,0.5418383154414979,1.288444995880127,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 316.22776601683796, 'regressor__svr__epsilon': 0.09921256574801246}",0.5636670915397514
19,6.0,250,0.5411858446973066,0.32306933403015137,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5649765111052464
20,8.0,334,0.5635519334976375,0.42392826080322266,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5609000481383113
21,8.0,334,0.5655474249201483,0.4320690631866455,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5662198467091919
22,8.0,334,0.5517676723657414,1.4787719249725342,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.015625}",0.5594305991670542
23,8.0,334,0.5817403919936509,0.4369478225708008,"{'regressor__fourier_random_features__gamma': 0.01968626640460739, 'regressor__svr__C': 17.78279410038923, 'regressor__svr__epsilon': 0.6299605249474365}",0.5587496807916367
