,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,4,0.3523549792707965,0.002245187759399414,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 1.0}",0.42197558306450544
1,4,0.4669225849474298,0.0012350082397460938,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.3744907057096202
2,4,0.30495495603335276,0.0012278556823730469,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.4197089580651091
3,4,0.4103831422670774,0.0013060569763183594,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.41040383598484553
4,6,0.5217047485243902,0.0012660026550292969,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.46973297213263854
5,6,0.5041733864830111,0.0013248920440673828,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.43752094388075874
6,6,0.295855013998664,0.0012826919555664062,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.4683658936937217
7,6,0.3871698284787851,0.0013358592987060547,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.4676262672020538
8,8,0.4920834305392354,0.0013151168823242188,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.4638544114815522
9,8,0.42089592167666723,0.0013780593872070312,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.49385922663662873
10,8,0.463073068635771,0.0013089179992675781,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5014722887927977
11,8,0.4481338543610124,0.001367807388305664,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5030201400806588
12,10,0.4961509519110342,0.0014638900756835938,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5022531623756942
13,10,0.46715587042715745,0.0013561248779296875,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5202725228973218
14,10,0.5302694164094339,0.0013680458068847656,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.518821773974022
15,10,0.5503826037751574,0.001466989517211914,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.001}",0.4844766070627598
16,20,0.5212067182915354,0.002003908157348633,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5428505135850219
17,20,0.5441653672391673,0.0019609928131103516,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.01}",0.5452507545603403
18,20,0.5362110612243103,0.0017709732055664062,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5564675442411563
19,20,0.5167777941258915,0.001806020736694336,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5579759708888573
20,31,0.14287126976031383,0.003164052963256836,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5533419959419726
21,31,0.5353779068682973,0.0024237632751464844,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5494708139504136
22,31,0.566467890416242,0.0022230148315429688,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5440302591152296
23,31,0.5389849231439641,0.002290010452270508,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.566914275990108
24,41,0.5431628062268588,0.002924680709838867,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5722380433933771
25,41,0.6114493628844925,0.002930879592895508,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.01}",0.5513382087227086
26,41,0.5280421197018407,0.002783060073852539,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5741248044909142
27,41,0.5895122324266238,0.003612995147705078,"{'regressor__fourier_random_features__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5596998044787218
28,125,0.585702416040658,0.008931875228881836,"{'regressor__fourier_random_features__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5706185186800088
