,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,41,0.5569055654029635,0.027367830276489258,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0001}",0.5721527970367498,0.5721527970367498,0.04028437046608125
1,1,41,0.5510788581487733,0.028861045837402344,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5776167509265516,0.5776167509265516,0.028676228501422908
2,1,41,0.6232546600488011,0.02874755859375,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0001}",0.5557462388912853,0.5557462388912853,0.012228183127363894
3,1,41,0.5566471803074333,0.029252052307128906,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5719765481984652,0.5719765481984652,0.026474367627135995
4,2,83,0.5598974457700101,0.045884132385253906,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5798258803418606,0.5798258803418606,0.03781581792176569
5,2,83,0.5549321129499529,0.04512357711791992,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5771636710377862,0.5771636710377862,0.03181902990812237
6,2,83,0.6152369140970422,0.044508934020996094,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5577860775669021,0.5577860775669021,0.00719997106259598
7,2,83,0.5622626122511675,0.07465958595275879,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5732991260098743,0.5732991260098743,0.022179745010168162
8,4,167,0.558266440162672,0.0846247673034668,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5806406714875585,0.5806406714875585,0.03786974909193132
9,4,167,0.5510020954370778,0.05541229248046875,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5756376751793711,0.5756376751793711,0.029104315804778246
10,4,167,0.6106285376497498,0.140045166015625,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5561636379572755,0.5561636379572755,0.006653808173453318
11,4,167,0.5581980984531003,0.14506816864013672,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5731573332775004,0.5731573332775004,0.02725644532200472
12,5,208,0.5590905217476565,0.11062955856323242,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5800520388627202,0.5800520388627202,0.03810383727488644
13,5,208,0.550930900976002,0.1175069808959961,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5755799103625808,0.5755799103625808,0.029203880801405808
14,5,208,0.6150193314638099,0.1826648712158203,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5537325991074742,0.5537325991074742,0.009115105336102347
15,5,208,0.5583426256706094,0.10668683052062988,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5730714782739277,0.5730714782739277,0.02733685828788873
16,7,292,0.5597068195878918,0.1454014778137207,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5803369253746639,0.5803369253746639,0.03831573415555109
17,7,292,0.5509195863975982,0.16686391830444336,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5756418111728987,0.5756418111728987,0.02916626483970323
18,7,292,0.6141975373366412,0.2308342456817627,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5569612697414844,0.5569612697414844,0.011130105076245705
19,7,292,0.558385861545559,0.11519646644592285,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5730625283683911,0.5730625283683911,0.027340607684284916
20,9,375,0.5593969733768538,0.24756097793579102,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5803602038311032,0.5803602038311032,0.038155580437595295
21,9,375,0.5507363076830647,0.22412490844726562,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5756191793831015,0.5756191793831015,0.029191698198833854
22,9,375,0.6172264291341765,0.2671380043029785,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5539433528429762,0.5539433528429762,0.0124206637303019
23,9,375,0.5583964727507335,0.25230860710144043,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5731168157332247,0.5731168157332247,0.027329105664277955
24,10,417,0.553606271563485,0.28638529777526855,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5818768968960143,0.5818768968960143,0.03440038529745296
25,10,417,0.5504477469387263,0.2897062301635742,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5756100314562967,0.5756100314562967,0.029191601605700685
26,10,417,0.61505083027888,0.28719353675842285,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5536334712083155,0.5536334712083155,0.00915669235505419
27,10,417,0.5583918740519391,0.2167956829071045,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5730623764382987,0.5730623764382987,0.0273541861023867
28,12,501,0.5569790130829182,0.3112149238586426,"{'regressor__nystroem__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5817413509479417,0.5817413509479417,0.035806156042453366
29,12,501,0.5507113848731062,0.2919590473175049,"{'regressor__nystroem__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5756437475062305,0.5756437475062305,0.029175659165506573
