,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,41,0.5369091216292927,0.663884162902832,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.548175850569366,0.548175850569366,0.03496380587410919
1,1,41,0.5309223379457818,0.6426753997802734,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5571633274150976,0.5571633274150976,0.026952260704852727
2,1,41,0.5837868604111967,0.6630144119262695,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5302412191873505,0.5302412191873505,0.013888137068239213
3,1,41,0.5401844380154994,0.7844769954681396,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5460883053134158,0.5460883053134158,0.03456639154607014
4,2,83,0.5499607611382473,0.673250675201416,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5672113329238802,0.5672113329238802,0.03134911252061632
5,2,83,0.5521790467480101,1.313643455505371,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5704881334005649,0.5704881334005649,0.027049962914023194
6,2,83,0.6023492559601957,0.6819899082183838,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5445376822927708,0.5445376822927708,0.007685373694845935
7,2,83,0.5540649304364533,0.6676816940307617,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5598419165844535,0.5598419165844535,0.03405212409537443
8,4,167,0.5463843315612689,1.0469534397125244,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5596090915879822,0.5596090915879822,0.030842254409451753
9,4,167,0.5531645992360323,0.9007761478424072,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5662114092198121,0.5662114092198121,0.02484272979046013
10,4,167,0.5911786938571667,1.1494522094726562,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5415058314764076,0.5415058314764076,0.0071191434130194456
11,4,167,0.5571586725196382,0.8497662544250488,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5603661293941842,0.5603661293941842,0.0301206308966567
12,5,208,0.547347279277651,1.7856643199920654,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5714012198262772,0.5714012198262772,0.02935314145178383
13,5,208,0.5486976420769816,0.8451826572418213,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5670194963407493,0.5670194963407493,0.02599775382798556
14,5,208,0.6035724541688865,1.7727913856506348,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5484792324755443,0.5484792324755443,0.005009139525497985
