,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,20,0.23624268023177852,0.003298044204711914,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.555578877498916
1,0.5,20,0.5483962501380574,0.0020627975463867188,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5605885712921026
2,0.5,20,0.5738549632502976,0.006561994552612305,"{'regressor__fourier_random_features__gamma': 0.0001220703125, 'regressor__ridge_regression__alpha': 0.0001}",0.5415519342591095
3,0.5,20,0.5435831008022719,0.0045740604400634766,"{'regressor__fourier_random_features__gamma': 0.0001220703125, 'regressor__ridge_regression__alpha': 0.0001}",0.555463783777034
4,1.0,41,0.5545182344760481,0.007848024368286133,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5632639763213809
5,1.0,41,0.5409062822242826,0.0044291019439697266,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5613956195960425
6,1.0,41,0.3407337352689006,0.007582902908325195,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.57238323801235
7,1.0,41,0.5680063815689962,0.007534027099609375,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5585966376293846
8,2.0,83,0.5845034297439311,0.060124874114990234,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5557634818605168
9,2.0,83,0.5496044350963618,0.04678010940551758,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.57195396560149
10,2.0,83,0.5766114391962873,0.03976178169250488,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5637364144271322
11,2.0,83,0.1588259217129251,0.053441762924194336,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5761672359276699
12,4.0,167,0.5484938879626284,0.2077338695526123,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5789848382251813
13,4.0,167,0.5778133089985031,0.11164712905883789,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5646117322476185
14,4.0,167,0.561874526796359,0.2759580612182617,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.571569520527123
15,4.0,167,0.5811119287648208,0.20409512519836426,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5638738196791309
16,6.0,250,0.5615397134278959,0.22204899787902832,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5657060501994975
17,6.0,250,0.5339568329446133,0.05657601356506348,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.578292086840583
18,6.0,250,0.6044417377515845,0.28037333488464355,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5558443668443054
19,6.0,250,0.5656973258295249,0.2834770679473877,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5648486272190969
20,8.0,334,0.5578649319553368,0.2046520709991455,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5763514511684298
21,8.0,334,0.5512861984307671,0.03802204132080078,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.564506340502736
22,8.0,334,0.5543519075770198,0.23290014266967773,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5723201508725017
23,8.0,334,0.5701664155646011,0.262117862701416,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5679988681029556
24,10.0,417,0.6057535815905999,0.29839611053466797,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5586348282629562
25,10.0,417,0.49884293116841083,0.3000926971435547,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5765820942806773
26,10.0,417,0.5332714663823798,0.2877790927886963,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5710004734084027
27,10.0,417,0.5553640004379393,0.28836894035339355,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5671609012391104
28,14.0,584,0.5516470343046183,0.3168971538543701,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5735570186455397
29,14.0,584,0.57465868118672,0.3078951835632324,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5716777893079764
30,14.0,584,0.5716654886685578,0.30242395401000977,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5712122417558362
31,14.0,584,0.6047691595801072,0.30019283294677734,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5650411558960788
32,16.0,668,0.5624987833216573,0.31197500228881836,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5778440468866006
33,16.0,668,0.5462318709183633,0.3157529830932617,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5715761155149885
34,16.0,668,0.5409310563338972,0.3181419372558594,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5693454268288386
