,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,4,0.45260244001949834,0.0041658878326416016,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.406872580692543
1,4,0.5052895511662713,0.0015399456024169922,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 1.0}",0.427413659974017
2,4,0.3522021521339178,0.0015628337860107422,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.4666838885750848
3,4,0.3723658028221659,0.0015099048614501953,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.42998846122507023
4,6,0.38528089991821923,0.0015609264373779297,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.49691197127921927
5,6,0.5054225268368093,0.0016241073608398438,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.4553221261969898
6,6,0.4634305214014871,0.0015761852264404297,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.49982289728482404
7,6,0.48626670659779847,0.0016169548034667969,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.47613511068162573
8,8,0.5200879722830494,0.001669168472290039,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5047410155127303
9,8,0.5036704598781094,0.0016260147094726562,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5197885513716074
10,8,0.5081535423975776,0.0016410350799560547,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.52800751564832
11,8,0.5544172594519862,0.0016398429870605469,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5090213474134091
12,10,0.5050314416759838,0.002046823501586914,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5365654652045975
13,10,0.5377442561426313,0.002573728561401367,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.529704743630018
14,10,0.5476468963668125,0.0018918514251708984,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5198230704850454
15,10,0.46173055795323814,0.0017728805541992188,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.001}",0.5420575735898728
16,20,0.5337210179051344,0.002580881118774414,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5661133137178537
17,20,0.5883478891743228,0.009267091751098633,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5541621713768057
18,20,0.5618673449885543,0.00833582878112793,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5619454233873636
19,20,0.5722060860060778,0.011711835861206055,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.01}",0.5582671065583538
20,31,0.5453793935900224,0.004821062088012695,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.001}",0.5738856287300431
21,31,0.5955111084481204,0.02434396743774414,"{'regressor__nystrom__gamma': 0.0078125, 'regressor__ridge__alpha': 0.1}",0.5486137927800708
22,31,0.5636053823937058,0.004332065582275391,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5709263808789599
23,31,0.52689571045235,0.004859209060668945,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.001}",0.5752232646103504
24,41,0.5404919873155476,0.021717071533203125,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5834483955887605
25,41,0.5671687658650798,0.018806934356689453,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.01}",0.5760802320937034
26,41,0.6146147932335867,0.009103059768676758,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.1}",0.5568519084464814
27,41,0.5806821811190348,0.008105993270874023,"{'regressor__nystrom__gamma': 0.05440941020600775, 'regressor__ridge__alpha': 0.001}",0.5711579271973335
