percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,3,0.37817823103468273,0.0,0.0012900829315185547,0.0,0.2653890940183693,0.0,0.2653890940183693,0.11032510208072867
2,6,0.4047120368018683,0.0,0.0012328624725341797,0.0,0.5177750272604544,0.0,0.5177750272604544,0.29088898090904874
4,13,0.7714487791326472,0.0,0.0012328624725341797,0.0,0.7298160838316349,0.0,0.7298160838316349,0.0653126933764226
5,16,0.762064767694472,0.0,0.001299142837524414,0.0,0.7930382942467773,0.0,0.7930382942467773,0.05110729274818551
7,23,0.778842192521338,0.0,0.0012478828430175781,0.0,0.8059145772020738,0.0,0.8059145772020738,0.03456537321480053
9,30,0.7877057688267283,0.0,0.0013780593872070312,0.0,0.8047374602034333,0.0,0.8047374602034333,0.0327693675855261
10,33,0.7791914222598586,0.0,0.0014450550079345703,0.0,0.8064055236186876,0.0,0.8064055236186876,0.04029451349577155
12,40,0.7714352916252888,0.0,0.016315937042236328,0.0,0.8072518904838011,0.0,0.8072518904838011,0.03608845904567036
13,43,0.7818205378737433,0.0,0.011831045150756836,0.0,0.8088853053707161,0.0,0.8088853053707161,0.037414013881585086
15,50,0.7884531941135657,0.0,0.03369283676147461,0.0,0.8066878055157135,0.0,0.8066878055157135,0.03652801629736264
17,57,0.7786084362599699,0.0,0.04871225357055664,0.0,0.8108190699442364,0.0,0.8108190699442364,0.036368518529847425
18,60,0.7693441970332693,0.0,0.030794858932495117,0.0,0.8109105092951683,0.0,0.8109105092951683,0.032697794940647
20,67,0.7817371424675235,0.0,0.08492279052734375,0.0,0.8079231640246587,0.0,0.8079231640246587,0.03619885003204002
21,70,0.7820008466275071,0.0,0.18144893646240234,0.0,0.8105465538036247,0.0,0.8105465538036247,0.03317580965230757
23,77,0.7783064052439493,0.0,0.16559505462646484,0.0,0.8082815158793231,0.0,0.8082815158793231,0.03950035995080263
25,84,0.7891653368986964,0.0,0.20868825912475586,0.0,0.8121204759006379,0.0,0.8121204759006379,0.03702375327498491
