percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,49,0.9773401431853157,0.0,0.11632227897644043,0.0,0.976385726391424,0.0,0.976385726391424,0.005035807575556085
2,98,0.9778977184022125,0.0,0.14518332481384277,0.0,0.9759792231686119,0.0,0.9759792231686119,0.0058402959974188165
4,196,0.9769609920378259,0.0,0.23182177543640137,0.0,0.9755720983812388,0.0,0.9755720983812388,0.006197802732976786
5,245,0.9786783237058679,0.0,0.2626464366912842,0.0,0.9755718911930519,0.0,0.9755718911930519,0.00664939489722274
7,343,0.9782545665410264,0.0,0.32574915885925293,0.0,0.9741474724077133,0.0,0.9741474724077133,0.007028550792586776
9,442,0.979525838035551,0.0,0.39559364318847656,0.0,0.9743505168309324,0.0,0.9743505168309324,0.005154670650440691
10,491,0.9801726252871512,0.0,0.3991553783416748,0.0,0.9751643520293047,0.0,0.9751643520293047,0.00598186293883153
12,589,0.9795704440529027,0.0,0.5824031829833984,0.0,0.9745541828187123,0.0,0.9745541828187123,0.007187148864226481
13,638,0.9797711711309856,0.0,0.6044187545776367,0.0,0.9741472652195263,0.0,0.9741472652195263,0.006999631259470949
15,736,0.9809978366081584,0.0,0.6757030487060547,0.0,0.9735362672561862,0.0,0.9735362672561862,0.0061635664871208945
17,835,0.9799942012177443,0.0,0.9303107261657715,0.0,0.9741472652195263,0.0,0.9741472652195263,0.006969938265349189
18,884,0.9791020808707095,0.0,0.9837546348571777,0.0,0.973332808456593,0.0,0.973332808456593,0.007052668719802001
20,982,0.9794812320181993,0.0,1.3287780284881592,0.0,0.9737395188675922,0.0,0.9737395188675922,0.00624474769795488
21,1031,0.9823583201373866,0.0,1.3176581859588623,0.0,0.9735364744443731,0.0,0.9735364744443731,0.008182809838965592
23,1129,0.9780984454802953,0.0,1.4853239059448242,0.0,0.9741470580313394,0.0,0.9741470580313394,0.007513607056690744
25,1228,0.9799272921917167,0.0,1.594153642654419,0.0,0.973128935280626,0.0,0.973128935280626,0.006940969931275181
