percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,49,0.9759350536387359,0.0,0.0765542984008789,0.0,0.9733328084565931,0.0,0.9733328084565931,0.005797724679012171,0.0695432186126709,0.009833250829038267
2,98,0.9774962642460467,0.0,0.11309957504272461,0.0,0.9739423561026245,0.0,0.9739423561026245,0.0057725428238999815,0.08948211669921875,0.013971134345879814
4,196,0.9794143229921717,0.0,0.1617107391357422,0.0,0.973536267256186,0.0,0.973536267256186,0.007301376457372644,0.12951197624206542,0.02474080822218778
5,245,0.9803510493565581,0.0,0.16877436637878418,0.0,0.972517730129099,0.0,0.972517730129099,0.005784580099095665,0.16203460693359376,0.019706617638464624
7,343,0.9800388072350961,0.0,0.27859067916870117,0.0,0.9729246477282851,0.0,0.9729246477282851,0.004919305777575687,0.2210336685180664,0.008739147827327466
9,442,0.9822691081026831,0.0,0.315624475479126,0.0,0.972314064141319,0.0,0.972314064141319,0.0057993477493551975,0.28177609443664553,0.034594561520835745
10,491,0.9813546847469724,0.0,0.31586217880249023,0.0,0.9712973917079143,0.0,0.9712973917079143,0.006004429169002665,0.3175989627838135,0.03509269139836088
12,589,0.981243169703593,0.0,0.38896846771240234,0.0,0.9733323940802192,0.0,0.9733323940802192,0.006535959104051512,0.41950240135192873,0.020290554652391032
13,638,0.9823583201373866,0.0,0.4266395568847656,0.0,0.973128935280626,0.0,0.973128935280626,0.006940969931275181,0.4483020305633545,0.031163534360730685
15,736,0.9813769877556482,0.0,0.4716777801513672,0.0,0.9733321868920323,0.0,0.9733321868920323,0.005034111056591064,0.5536964893341064,0.08069430637564315
17,835,0.9817338358944622,0.0,0.5389606952667236,0.0,0.9723142713295058,0.0,0.9723142713295058,0.006111024175853438,0.6526969909667969,0.06779032736031808
18,884,0.9816223208510828,0.0,0.5303869247436523,0.0,0.9731287280924391,0.0,0.9731287280924391,0.005436784666018039,0.6473165988922119,0.10165144121793303
20,982,0.9824698351807659,0.0,0.5916402339935303,0.0,0.973332394080219,0.0,0.973332394080219,0.006599117979048581,0.7709524631500244,0.11085627976259377
21,1031,0.9819791689898968,0.0,0.6550428867340088,0.0,0.9735360600679991,0.0,0.9735360600679991,0.005638106282992159,0.8247529983520507,0.052810849621346106
23,1129,0.981577714833731,0.0,0.7287538051605225,0.0,0.9737393116794053,0.0,0.9737393116794053,0.0057987279072657565,0.9543173789978028,0.13815333252241585
25,1228,0.9824252291634141,0.0,0.7657742500305176,0.0,0.9729252692928461,0.0,0.9729252692928461,0.005804424725885967,1.0638914108276367,0.16173447682370254
