,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV
0,0.5,24,0.9788273615635179,0.10787320137023926,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.978287047961772
1,0.5,24,0.9747557003257329,0.14129328727722168,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9774725679900891
2,0.5,24,0.9747557003257329,0.09960341453552246,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9809996460385818
3,0.5,24,0.9837133550488599,0.13138532638549805,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9731236357737008
4,1.0,49,0.9812703583061889,0.11766409873962402,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9769290897292195
5,1.0,49,0.9747557003257329,0.20080041885375977,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9785576809627751
6,1.0,49,0.9780130293159609,0.12246847152709961,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9785584183823964
7,1.0,49,0.9804560260586319,0.09783554077148438,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9766551383399209
8,2.0,98,0.9755700325732899,0.18748021125793457,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9801836912276561
9,2.0,98,0.9812703583061889,0.18567442893981934,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9820847590112678
10,2.0,98,0.9820846905537459,0.21858501434326172,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9796420565158398
11,2.0,98,0.9788273615635179,0.22670865058898926,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9793710548050262
12,4.0,196,0.9763843648208469,0.3023505210876465,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.9820858651406997
13,4.0,196,0.9788273615635179,0.2873246669769287,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9826278685623266
14,4.0,196,0.9706840390879479,0.3036987781524658,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.983171715533007
15,4.0,196,0.9869706840390879,0.2669332027435303,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9780142027019055
16,6.0,294,0.9771986970684039,0.35001039505004883,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9804565364875227
17,6.0,294,0.9853420195439739,0.383037805557251,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9807275381983362
18,6.0,294,0.9755700325732899,0.3453049659729004,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.980454324228659
19,6.0,294,0.9747557003257329,0.37161922454833984,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.9823576042711345
20,8.0,392,0.9723127035830619,0.48690104484558105,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.9828988702731403
21,8.0,392,0.9828990228013029,0.563331127166748,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 100.0}",0.9818141260102647
