,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,49,0.9773401431853157,0.11632227897644043,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 0.0031622776601683794}",0.976385726391424,0.976385726391424,0.005035807575556085
1,2,98,0.9778977184022125,0.14518332481384277,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 0.0031622776601683794}",0.9759792231686119,0.9759792231686119,0.0058402959974188165
2,4,196,0.9769609920378259,0.23182177543640137,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9755720983812388,0.9755720983812388,0.006197802732976786
3,5,245,0.9786783237058679,0.2626464366912842,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9755718911930519,0.9755718911930519,0.00664939489722274
4,7,343,0.9782545665410264,0.32574915885925293,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741474724077133,0.9741474724077133,0.007028550792586776
5,9,442,0.979525838035551,0.39559364318847656,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 0.1}",0.9743505168309324,0.9743505168309324,0.005154670650440691
6,10,491,0.9801726252871512,0.3991553783416748,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9751643520293047,0.9751643520293047,0.00598186293883153
7,12,589,0.9795704440529027,0.5824031829833984,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9745541828187123,0.9745541828187123,0.007187148864226481
8,13,638,0.9797711711309856,0.6044187545776367,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741472652195263,0.9741472652195263,0.006999631259470949
9,15,736,0.9809978366081584,0.6757030487060547,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9735362672561862,0.9735362672561862,0.0061635664871208945
10,17,835,0.9799942012177443,0.9303107261657715,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741472652195263,0.9741472652195263,0.006969938265349189
11,18,884,0.9791020808707095,0.9837546348571777,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.973332808456593,0.973332808456593,0.007052668719802001
12,20,982,0.9794812320181993,1.3287780284881592,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9737395188675922,0.9737395188675922,0.00624474769795488
13,21,1031,0.9823583201373866,1.3176581859588623,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 0.0001}",0.9735364744443731,0.9735364744443731,0.008182809838965592
14,23,1129,0.9780984454802953,1.4853239059448242,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741470580313394,0.9741470580313394,0.007513607056690744
15,25,1228,0.9799272921917167,1.594153642654419,"{'nystroem__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.973128935280626,0.973128935280626,0.006940969931275181
