,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,49,0.9759350536387359,0.0765542984008789,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 0.0001}",0.9733328084565931,0.9733328084565931,0.005797724679012171,0.0695432186126709,0.009833250829038267
1,2,98,0.9774962642460467,0.11309957504272461,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9739423561026245,0.9739423561026245,0.0057725428238999815,0.08948211669921875,0.013971134345879814
2,4,196,0.9794143229921717,0.1617107391357422,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.973536267256186,0.973536267256186,0.007301376457372644,0.12951197624206542,0.02474080822218778
3,5,245,0.9803510493565581,0.16877436637878418,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.972517730129099,0.972517730129099,0.005784580099095665,0.16203460693359376,0.019706617638464624
4,7,343,0.9800388072350961,0.27859067916870117,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9729246477282851,0.9729246477282851,0.004919305777575687,0.2210336685180664,0.008739147827327466
5,9,442,0.9822691081026831,0.315624475479126,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.972314064141319,0.972314064141319,0.0057993477493551975,0.28177609443664553,0.034594561520835745
6,10,491,0.9813546847469724,0.31586217880249023,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9712973917079143,0.9712973917079143,0.006004429169002665,0.3175989627838135,0.03509269139836088
7,12,589,0.981243169703593,0.38896846771240234,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9733323940802192,0.9733323940802192,0.006535959104051512,0.41950240135192873,0.020290554652391032
8,13,638,0.9823583201373866,0.4266395568847656,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.973128935280626,0.973128935280626,0.006940969931275181,0.4483020305633545,0.031163534360730685
9,15,736,0.9813769877556482,0.4716777801513672,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9733321868920323,0.9733321868920323,0.005034111056591064,0.5536964893341064,0.08069430637564315
10,17,835,0.9817338358944622,0.5389606952667236,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9723142713295058,0.9723142713295058,0.006111024175853438,0.6526969909667969,0.06779032736031808
11,18,884,0.9816223208510828,0.5303869247436523,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9731287280924391,0.9731287280924391,0.005436784666018039,0.6473165988922119,0.10165144121793303
12,20,982,0.9824698351807659,0.5916402339935303,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.973332394080219,0.973332394080219,0.006599117979048581,0.7709524631500244,0.11085627976259377
13,21,1031,0.9819791689898968,0.6550428867340088,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9735360600679991,0.9735360600679991,0.005638106282992159,0.8247529983520507,0.052810849621346106
14,23,1129,0.981577714833731,0.7287538051605225,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9737393116794053,0.9737393116794053,0.0057987279072657565,0.9543173789978028,0.13815333252241585
15,25,1228,0.9824252291634141,0.7657742500305176,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9729252692928461,0.9729252692928461,0.005804424725885967,1.0638914108276367,0.16173447682370254
