percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,81,0.9276170178972831,0.050141786084865504,0.06790715456008911,0.016009216607803425,0.9556193110016016,0.003567295033334454,0.9556193110016016,0.006429171365078519
2,163,0.9657934411186938,0.0036390218623026777,0.17599964141845703,0.02392567694105031,0.9624026458521568,0.0021255722962314366,0.9624026458521568,0.004821715824262422
4,327,0.9699415270928158,0.0036108464562874952,0.25941407680511475,0.03923088126045554,0.9680743368579957,0.0019163707310944126,0.9680743368579957,0.002198679536572903
5,409,0.9701251942882376,0.0027315215963373924,0.3563363552093506,0.03572575536869126,0.9687840431282724,0.001731836295933041,0.9687840431282724,0.0025697432676279504
7,573,0.9699108702491785,0.002186520562512879,0.5463725328445435,0.0550083907528229,0.9697034553257893,0.001676163058535294,0.9697034553257893,0.002167441707949795
9,737,0.9713560979587936,0.0028461232725315606,0.8975735306739807,0.036568673701100285,0.9699525325402967,0.0012147660371791818,0.9699525325402967,0.0027388491365276523
10,819,0.9707565483573696,0.0013933446631369454,0.9073286056518555,0.06390182956801427,0.9698107506399213,0.0009671227407382224,0.9698107506399213,0.0024446020042766833
12,983,0.9706620611020078,0.0014990729256030985,1.4708637595176697,0.14331827821814475,0.9699961044223093,0.0015031665503249146,0.9699961044223093,0.0024491828962005186
13,1064,0.9714379124933847,0.0023635432126827833,1.633827805519104,0.15623308128071745,0.970398611054551,0.0008689495241431712,0.970398611054551,0.0024520323863384823
15,1228,0.9718049855271241,0.0019405003267102552,2.0167553424835205,0.06537548458759534,0.9703307243199502,0.0008688482208733486,0.9703307243199502,0.0022104475304774787
17,1392,0.9715102333551533,0.0031370452699534448,2.4196887612342834,0.1537735665076048,0.9702532374875014,0.0009894811091851602,0.9702532374875014,0.0024448368582929147
18,1474,0.9722355969311474,0.0022203962418559093,3.09574556350708,0.2145810830920654,0.9704389904126716,0.0010999409895254084,0.9704389904126716,0.002387142633614382
20,1638,0.9722407498908707,0.00218867103056733,3.776368498802185,0.2361794981248584,0.9706378852266309,0.0012352416654862514,0.9706378852266309,0.0023489587885064996
21,1720,0.9722971614704681,0.002112498410135521,3.651238739490509,0.2790105336814336,0.9708632010398119,0.0011014910198456406,0.9708632010398119,0.002611527345120977
23,1884,0.9724691111165309,0.0024035216690475466,3.8098877668380737,0.6836831439422933,0.9705622766133758,0.00101132694429842,0.9705622766133758,0.002450443622896037
25,2048,0.9723871351518132,0.002188116140499307,5.63093489408493,0.48617179365753577,0.9701225327451249,0.001775348943172967,0.9701225327451249,0.0031084067049009087
