percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,7,0.7591145833333333,0.041727657184797054,0.0036894679069519043,0.0003765225882241076,0.7656071964017991,0.017907342332751378,0.7656071964017991,0.03273768779359371
2,15,0.7682291666666667,0.033854166666666685,0.004609644412994385,0.0008211646291044569,0.7751686656671665,0.0133816783552948,0.7751686656671665,0.033614181727171344
4,30,0.7734374999999999,0.04302789490067266,0.005774080753326416,0.002535215720276398,0.7760457271364317,0.014791886292404983,0.7760457271364317,0.03440443614291116
5,38,0.7708333333333333,0.04017512661599352,0.0061942338943481445,0.001599488753455738,0.779538980509745,0.014476519615395155,0.779538980509745,0.03278460964341666
7,53,0.7708333333333333,0.03474391683366235,0.012101829051971436,0.005222645842382778,0.778208395802099,0.014559598941357787,0.778208395802099,0.03737631466494984
9,69,0.765625,0.03210632293213008,0.015975534915924072,0.008368433573399467,0.7790667166416791,0.015013771927356487,0.7790667166416791,0.03602901099756198
10,76,0.77734375,0.0434786662944375,0.011507749557495117,0.002601489137194326,0.7812293853073462,0.019928508919281617,0.7812293853073462,0.03167474519585378
12,92,0.765625,0.04730703678277332,0.012880265712738037,0.0030439109166170916,0.7777623688155922,0.015245011436899504,0.7777623688155922,0.03486604300985182
13,99,0.7721354166666667,0.04074085376865107,0.018534064292907715,0.003964106376693388,0.7803823088455771,0.019200541094107158,0.7803823088455771,0.04002796043727823
15,115,0.7747395833333334,0.03634188993998144,0.017045438289642334,0.009283957868403456,0.7808095952023989,0.019921497740161765,0.7808095952023989,0.03194946581252609
17,130,0.7643229166666667,0.03816237210873138,0.01409900188446045,0.003035785708021986,0.7786394302848576,0.016668948493536093,0.7786394302848576,0.036660938751283456
18,138,0.7591145833333334,0.035011275155595704,0.013238489627838135,0.003115016959517884,0.7777811094452775,0.016334960662714015,0.7777811094452775,0.03636860174595459
20,153,0.765625,0.04310662853449697,0.0158538818359375,0.0032667224498799767,0.7777773613193404,0.015292410320470682,0.7777773613193404,0.030569470313261314
21,161,0.7695312499999999,0.03886669676197733,0.03108036518096924,0.005911307907331711,0.7782046476761619,0.017976422673252567,0.7782046476761619,0.03611932992281333
23,176,0.765625,0.0448037774325137,0.029036223888397217,0.008046221094796888,0.7786506746626687,0.013495472914235912,0.7786506746626687,0.03565190692955592
25,192,0.7669270833333334,0.03671320880174919,0.030851781368255615,0.01414396966481842,0.7795052473763119,0.015296237417324393,0.7795052473763119,0.033253789920457535
