,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,7,0.7135416666666666,0.011383533477783203,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7482008995502248,0.7482008995502248,0.04111145735116284
1,1,7,0.7552083333333334,0.009167909622192383,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7481709145427285,0.7481709145427285,0.03656534891126861
2,1,7,0.7135416666666666,0.01342916488647461,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 100.0}",0.7742878560719639,0.7742878560719639,0.018433220864045145
3,1,7,0.75,0.013788938522338867,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 100.0}",0.7307946026986506,0.7307946026986506,0.031335925298300135
4,2,15,0.7916666666666666,0.027848482131958008,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 100.0}",0.765592203898051,0.765592203898051,0.03625142763330909
5,2,15,0.7447916666666666,0.022368431091308594,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.784647676161919,0.784647676161919,0.043387549480584944
6,2,15,0.75,0.02008795738220215,"{'fourier_random_features__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7881709145427285,0.7881709145427285,0.03201762819452229
7,2,15,0.75,0.0503237247467041,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 100.0}",0.7794752623688156,0.7794752623688156,0.02064486819683017
8,4,30,0.796875,0.024512529373168945,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7638680659670165,0.7638680659670165,0.03717391228765533
9,4,30,0.75,0.0218355655670166,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 6.30957344480193}",0.774287856071964,0.774287856071964,0.032178188347632516
10,4,30,0.703125,0.015384674072265625,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 100.0}",0.8003148425787107,0.8003148425787107,0.031292354397734076
11,4,30,0.8020833333333334,0.014278650283813477,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7568815592203898,0.7568815592203898,0.03723717827524311
12,5,38,0.7760416666666666,0.028369665145874023,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 6.30957344480193}",0.7708245877061468,0.7708245877061468,0.04355115638650244
13,5,38,0.7604166666666666,0.02568984031677246,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7846776611694153,0.7846776611694153,0.030095209783579668
14,5,38,0.7083333333333334,0.019866943359375,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 6.30957344480193}",0.803823088455772,0.803823088455772,0.03414033751976357
15,5,38,0.796875,0.020747900009155273,"{'fourier_random_features__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7603748125937031,0.7603748125937031,0.040105314630723234
16,7,53,0.8072916666666666,0.027363300323486328,"{'fourier_random_features__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7690854572713643,0.7690854572713643,0.02680438295196942
17,7,53,0.7552083333333334,0.02821516990661621,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7847376311844079,0.7847376311844079,0.039333244324805665
18,7,53,0.71875,0.012635946273803711,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7968515742128937,0.7968515742128937,0.029554936767638176
19,7,53,0.8072916666666666,0.012649774551391602,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7603748125937031,0.7603748125937031,0.04371377046821764
20,9,69,0.765625,0.02344489097595215,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 6.30957344480193}",0.7621589205397301,0.7621589205397301,0.016013678465378673
21,9,69,0.75,0.032469987869262695,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7829385307346326,0.7829385307346326,0.03911433607043519
22,9,69,0.734375,0.030214548110961914,"{'fourier_random_features__gamma': 0.0412346222116529, 'svm__C': 6.30957344480193}",0.8038380809595204,0.8038380809595204,0.028749602670495752
23,9,69,0.796875,0.03263068199157715,"{'fourier_random_features__gamma': 0.005920767837931241, 'svm__C': 6.30957344480193}",0.7655772113943029,0.7655772113943029,0.039900751021133274
24,10,76,0.8125,0.04334449768066406,"{'fourier_random_features__gamma': 0.0008501470344688711, 'svm__C': 100.0}",0.7621589205397301,0.7621589205397301,0.03868479691505775
25,10,76,0.7447916666666666,0.043120384216308594,"{'fourier_random_features__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7794902548725637,0.7794902548725637,0.03474205359444757
