,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,7,0.7760416666666666,0.004340410232543945,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7465667166416792,0.7465667166416792,0.040659227905764574
1,1,7,0.75,0.003488302230834961,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7725337331334333,0.7725337331334333,0.03247673933321558
2,1,7,0.6979166666666666,0.0034940242767333984,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7916491754122937,0.7916491754122937,0.03121436399954313
3,1,7,0.8125,0.0034351348876953125,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.75167916041979,0.75167916041979,0.026600419935851587
4,2,15,0.8020833333333334,0.003811359405517578,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7638830584707648,0.7638830584707648,0.03983642256405757
5,2,15,0.734375,0.003766298294067383,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.77952023988006,0.77952023988006,0.034558238230593286
6,2,15,0.734375,0.0054051876068115234,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7951574212893553,0.7951574212893553,0.024789079206930256
7,2,15,0.8020833333333334,0.005455732345581055,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7621139430284858,0.7621139430284858,0.03527298690710428
8,4,30,0.8072916666666666,0.004360675811767578,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7639130434782608,0.7639130434782608,0.032986220414592454
9,4,30,0.7447916666666666,0.010164737701416016,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.782983508245877,0.782983508245877,0.03850459097073095
10,4,30,0.71875,0.004256486892700195,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.796896551724138,0.796896551724138,0.02924313125307094
11,4,30,0.8229166666666666,0.004314422607421875,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7603898050974512,0.7603898050974512,0.03688380193325029
12,5,38,0.796875,0.007861137390136719,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7708545727136432,0.7708545727136432,0.03024142238282383
13,5,38,0.734375,0.007724761962890625,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7847526236881559,0.7847526236881559,0.03685545327333403
14,5,38,0.7291666666666666,0.004578351974487305,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.8003748125937031,0.8003748125937031,0.037537648736416275
15,5,38,0.8229166666666666,0.00461268424987793,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7621739130434781,0.7621739130434781,0.026503914181092485
16,7,53,0.8125,0.016844987869262695,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7656371814092954,0.7656371814092954,0.034687664451881976
17,7,53,0.7447916666666666,0.009354829788208008,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 3.1622776601683795}",0.7777961019490256,0.7777961019490256,0.03403359112852425
18,7,53,0.7291666666666666,0.01731133460998535,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8020989505247377,0.8020989505247377,0.043012759037704164
19,7,53,0.796875,0.0048961639404296875,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7673013493253373,0.7673013493253373,0.03777124404168897
20,9,69,0.7864583333333334,0.008615732192993164,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7743328335832083,0.7743328335832083,0.03948268390005255
21,9,69,0.734375,0.012912988662719727,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7795052473763118,0.7795052473763118,0.027335228158876373
22,9,69,0.734375,0.012179374694824219,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8020689655172415,0.8020689655172415,0.037123861253651275
23,9,69,0.8072916666666666,0.03019404411315918,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7603598200899551,0.7603598200899551,0.040174270677667726
24,10,76,0.8125,0.013091325759887695,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7673463268365817,0.7673463268365817,0.02172131824682159
25,10,76,0.7395833333333334,0.013057470321655273,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7795052473763119,0.7795052473763119,0.035516086387152
26,10,76,0.7291666666666666,0.012878179550170898,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8142428785607196,0.8142428785607196,0.0308667945016557
27,10,76,0.828125,0.0070040225982666016,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7638230884557722,0.7638230884557722,0.03859478164778585
28,12,92,0.8072916666666666,0.01462697982788086,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.762143928035982,0.762143928035982,0.0355203391043257
29,12,92,0.7447916666666666,0.01474618911743164,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.782983508245877,0.782983508245877,0.03850459097073095
30,12,92,0.6979166666666666,0.014538288116455078,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.800344827586207,0.800344827586207,0.029109389063139698
31,12,92,0.8125,0.00760960578918457,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655772113943028,0.7655772113943028,0.03632985290121093
32,13,99,0.8125,0.01504969596862793,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7656521739130435,0.7656521739130435,0.03586363587356744
33,13,99,0.7395833333333334,0.024644851684570312,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7777961019490255,0.7777961019490255,0.043057374502129216
34,13,99,0.7239583333333334,0.01499319076538086,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.812503748125937,0.812503748125937,0.044860978472205326
35,13,99,0.8125,0.019448518753051758,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655772113943028,0.7655772113943028,0.03632985290121093
36,15,115,0.8020833333333334,0.012751579284667969,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092954,0.7656371814092954,0.03243463167151742
37,15,115,0.75,0.03228497505187988,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7829835082458771,0.7829835082458771,0.026385869548579206
38,15,115,0.7291666666666666,0.0074384212493896484,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8124887556221889,0.8124887556221889,0.0346614106213292
39,15,115,0.8177083333333334,0.015706777572631836,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7621289355322339,0.7621289355322339,0.03431595140867855
40,17,130,0.78125,0.01435399055480957,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7639430284857571,0.7639430284857571,0.03452646991593355
41,17,130,0.7395833333333334,0.014487743377685547,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 3.1622776601683795}",0.7795352323838081,0.7795352323838081,0.0348908129287777
42,17,130,0.71875,0.009508609771728516,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8055322338830585,0.8055322338830585,0.03428626631838076
