,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,49,0.9750206302830252,0.17754650115966797,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9710912394618909,0.9710912394618909,0.0004964595589519217
1,2,98,0.9702031804090372,0.18706774711608887,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
2,4,196,0.980373352365234,0.29415392875671387,"{'fourier_random_features__gamma': 0.0010995899256440774, 'svm__C': 0.3981071705534969}",0.9725164869999772,0.9725164869999772,0.0027303387885304824
3,5,245,0.9767156589423913,0.3072195053100586,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.971905696224824,0.971905696224824,0.004709841704742691
4,7,343,0.9702031804090372,0.3240053653717041,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
5,9,442,0.9702031804090372,0.48453569412231445,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
6,10,491,0.9761134777081428,0.6927943229675293,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9717024446134179,0.9717024446134179,0.004654562114491563
7,12,589,0.9702031804090372,0.7291417121887207,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
8,13,638,0.9702031804090372,0.7362334728240967,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
9,15,736,0.9772286281419363,0.9880046844482422,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9714989858138248,0.9714989858138248,0.00514417399338935
10,17,835,0.9776969913241296,1.1996026039123535,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9714989858138248,0.9714989858138248,0.0045461146527340825
11,18,884,0.9702031804090372,1.1935462951660156,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
12,20,982,0.9702031804090372,1.385279893875122,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
13,21,1031,0.9702031804090372,1.4746413230895996,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
14,23,1129,0.9702031804090372,1.5945522785186768,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
15,25,1228,0.9780092334455918,1.9280145168304443,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9712955270142316,0.9712955270142316,0.003768638225824332
