,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,81,0.9522883035893916,0.06825542449951172,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9518123491473094,0.9518123491473094,0.005204142556824525
1,1,81,0.9567433155374125,0.08065676689147949,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9523611625297226,0.9523611625297226,0.006743504550505996
2,1,81,0.8409156706461223,0.08106517791748047,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9597983928207814,0.9597983928207814,0.004656733341894023
3,1,81,0.9605207818162061,0.041651248931884766,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9585053395085932,0.9585053395085932,0.009112305011089528
4,2,163,0.9612196096895365,0.17743396759033203,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9653521397269399,0.9653521397269399,0.00578612399200217
5,2,163,0.9661744180918016,0.19431638717651367,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9618216634172742,0.9618216634172742,0.004060268608756133
6,2,163,0.9712894880913425,0.19576478004455566,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9594534181184722,0.9594534181184722,0.005256539508997703
7,2,163,0.9644902486020945,0.13648343086242676,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9629833621459412,0.9629833621459412,0.0041839311872936815
8,4,327,0.9671120252549869,0.21020841598510742,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9702544279848452,0.9702544279848452,0.002647445338211617
9,4,327,0.9723192071536721,0.3139784336090088,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9666510119754248,0.9666510119754248,0.0017778492823708489
10,4,327,0.9745487239764404,0.2760145664215088,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9657434030324138,0.9657434030324138,0.002719439044333409
11,4,327,0.9657861519861637,0.23745489120483398,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.969648504439299,0.969648504439299,0.0016499844813757374
12,5,409,0.9675567276052456,0.34983062744140625,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9707478950795156,0.9707478950795156,0.0028416703144150727
13,5,409,0.9724111930280724,0.40065932273864746,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9684279321423928,0.9684279321423928,0.0024710699199758045
14,5,409,0.9732649391832087,0.3719487190246582,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9661469946949917,0.9661469946949917,0.0025090447581489167
15,5,409,0.9672679173364237,0.30290675163269043,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9698133505961894,0.9698133505961894,0.002457188077972008
16,7,573,0.9679387651179813,0.6335170269012451,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9709620951719897,0.9709620951719897,0.0027889379179033428
