,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,81,0.9244945165653258,0.03610420227050781,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9138896476618446,0.9138896476618446,0.01410493910585519
1,1,81,0.9283762199672441,0.09175252914428711,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9187903306053565,0.9187903306053565,0.002738099833416684
2,1,81,0.7189938111111034,0.047347307205200195,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9192084061336292,0.9192084061336292,0.011129944357616071
3,1,81,0.9179166986250996,0.046976327896118164,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.909744415910331,0.909744415910331,0.031007944686362938
4,2,163,0.9459485169853434,0.1582932472229004,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9382252443589267,0.9382252443589267,0.011024439482018521
5,2,163,0.9515107105547859,0.08312320709228516,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9416864669465459,0.9416864669465459,0.003955086120391685
6,2,163,0.9481870171137127,0.1583542823791504,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.949238366000316,0.949238366000316,0.013282288987374144
7,2,163,0.9606551970233287,0.10022854804992676,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.955858999405025,0.955858999405025,0.004869532871680726
8,4,327,0.9624630516121452,0.18724942207336426,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9607883649124686,0.9607883649124686,0.004738069278404905
9,4,327,0.9606166887606191,0.13489985466003418,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.942333857925514,0.942333857925514,0.012346924190207765
10,4,327,0.9265629678604124,0.15239667892456055,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9615416555018369,0.9615416555018369,0.003345021948075579
11,4,327,0.9538746973375739,0.21620655059814453,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9565566918967475,0.9565566918967475,0.003320448927058155
12,5,409,0.9555229324557505,0.20915007591247559,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9618956944789121,0.9618956944789121,0.003707518135486999
13,5,409,0.9657315539791826,0.20702624320983887,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9497855394839393,0.9497855394839393,0.010083700922584813
14,5,409,0.9252630452399954,0.20668888092041016,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9650940803121998,0.9650940803121998,0.0035661714246366227
15,5,409,0.9633778472697339,0.19591379165649414,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9636404912527621,0.9636404912527621,0.003137419146557507
16,7,573,0.965833164603523,0.28302478790283203,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9629117720115982,0.9629117720115982,0.004123721329828965
17,7,573,0.9619445969113445,0.298830509185791,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9560255083804478,0.9560255083804478,0.003900984601169549
18,7,573,0.9586859045921869,0.33478283882141113,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9614443334522378,0.9614443334522378,0.0034478212468686655
19,7,573,0.9605840474797236,0.32056593894958496,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9550293597063021,0.9550293597063021,0.0020040624283887646
20,9,737,0.962928032204132,0.42923903465270996,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9668913413128536,0.9668913413128536,0.0050999203839653335
21,9,737,0.962437755784358,0.41480302810668945,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9555214880372171,0.9555214880372171,0.0032785559527493398
22,9,737,0.9562266347256714,0.40090441703796387,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9622138279995672,0.9622138279995672,0.0019403811044653794
23,9,737,0.9600023353863824,0.470963716506958,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9579924013959509,0.9579924013959509,0.0033755829965687275
24,10,819,0.9635641430524662,0.4670391082763672,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9652622594464834,0.9652622594464834,0.008262585476149801
25,10,819,0.9716884878010558,0.4564647674560547,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9618030181603817,0.9618030181603817,0.003078648785721116
26,10,819,0.8405600856149761,0.41996169090270996,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9625675861036169,0.9625675861036169,0.0038795310451297804
27,10,819,0.9636356611880553,0.4319727420806885,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9660789378369771,0.9660789378369771,0.003353830837138537
28,12,983,0.9665008723282984,0.520463228225708,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9687029210992331,0.9687029210992331,0.004636300605675024
29,12,983,0.9713575591287464,0.5991618633270264,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9641583525096262,0.9641583525096262,0.00405882875753148
30,12,983,0.9331521739864219,0.5509037971496582,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9657141885302796,0.9657141885302796,0.0024357176302447357
31,12,983,0.9687694602143856,0.5747463703155518,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9674903726972186,0.9674903726972186,0.002484167773778777
32,13,1064,0.9664797149507477,0.6098406314849854,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9667086974501261,0.9667086974501261,0.00254435912028834
33,13,1064,0.9710159012650641,0.6487438678741455,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9571375951699659,0.9571375951699659,0.014067842730794486
34,13,1064,0.9554389153563656,0.6732699871063232,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9650479242528816,0.9650479242528816,0.002327591851904068
35,13,1064,0.9698412828180718,0.656810998916626,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9676607686092993,0.9676607686092993,0.0023211698009515847
36,15,1228,0.9682436451213321,0.7497498989105225,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9664307156976909,0.9664307156976909,0.008235318821289328
37,15,1228,0.9705112027162133,0.6455965042114258,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9600206364340277,0.9600206364340277,0.004985385901255726
38,15,1228,0.9736680182267962,0.7965772151947021,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9643071364937235,0.9643071364937235,0.003062553208429122
39,15,1228,0.966758829384411,0.7424185276031494,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9660587689648998,0.9660587689648998,0.0030670510426017714
40,17,1392,0.9675497836214534,0.8844988346099854,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9687221333354257,0.9687221333354257,0.00420917075575864
41,17,1392,0.969495850042332,0.8908445835113525,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9658632333545046,0.9658632333545046,0.0022436982058694423
42,17,1392,0.9049588487134307,0.9046447277069092,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9628629094167941,0.9628629094167941,0.0034003721480271626
43,17,1392,0.9681833607366298,0.90397047996521,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9677413374320647,0.9677413374320647,0.002747126985698186
44,18,1474,0.9685074126198617,0.8132975101470947,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9668959993611347,0.9668959993611347,0.005957996317900539
45,18,1474,0.9714145722019154,0.8082058429718018,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9639615232053818,0.9639615232053818,0.005997925734684376
46,18,1474,0.969994681371653,1.0062484741210938,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9648667857092716,0.9648667857092716,0.002732382707019366
47,18,1474,0.969414378415405,0.9681041240692139,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9655604251487931,0.9655604251487931,0.0021437535142437543
48,20,1638,0.9668612603380479,1.0416765213012695,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9680477346851687,0.9680477346851687,0.0033873566099444845
49,20,1638,0.9681814340741169,1.0489671230316162,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9682608046425545,0.9682608046425545,0.003242513396917119
50,20,1638,0.9715303921243451,1.2135794162750244,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9661252466106267,0.9661252466106267,0.0026939678341149796
51,20,1638,0.9673184088444492,1.0409221649169922,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9684327784399732,0.9684327784399732,0.0025414893255086557
52,21,1720,0.9679719455577709,1.0076422691345215,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9694538581584313,0.9694538581584313,0.006837240325804198
53,21,1720,0.9699429624026098,1.0454857349395752,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9652679606309824,0.9652679606309824,0.004409666667794895
54,21,1720,0.9653402146068955,1.2975413799285889,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9638640344027174,0.9638640344027174,0.004539822269196338
55,21,1720,0.9687506913715426,1.1469266414642334,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9671016913873703,0.9671016913873703,0.004133943176789997
56,23,1884,0.968167883658647,1.3093252182006836,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9678373328846209,0.9678373328846209,0.0033077297114535806
57,23,1884,0.9713164561150454,1.4259381294250488,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9678213743006008,0.9678213743006008,0.0028858968002670906
58,23,1884,0.9654006958902145,1.4336097240447998,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9686687080056438,0.9686687080056438,0.00236245897184825
59,23,1884,0.9678705889756846,1.0932066440582275,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9680175228760479,0.9680175228760479,0.002077431002308779
60,25,2048,0.9648555000519273,1.346219778060913,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9704500462668992,0.9704500462668992,0.002818784903410542
61,25,2048,0.973273513663975,1.4709296226501465,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9657472278932943,0.9657472278932943,0.004725085218788251
62,25,2048,0.9702467265879814,1.432262897491455,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9661491171997387,0.9661491171997387,0.002701820054206004
63,25,2048,0.9694365502050123,1.5588469505310059,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9671743964779825,0.9671743964779825,0.002642990841378271
