,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,7,0.8125,0.013915777206420898,"{'nystroem__gamma': 0.015625, 'svm__C': 100.0}",0.7569265367316341,0.7569265367316341,0.024750966375293417
1,1,7,0.71875,0.01060938835144043,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7726086956521738,0.7726086956521738,0.032408078527972554
2,1,7,0.7447916666666666,0.010848522186279297,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7829685157421291,0.7829685157421291,0.05851961208744369
3,1,7,0.796875,0.014973163604736328,"{'nystroem__gamma': 0.015625, 'svm__C': 100.0}",0.7569715142428785,0.7569715142428785,0.03830413067505412
4,2,15,0.8125,0.027575016021728516,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7621739130434783,0.7621739130434783,0.04012268520020634
5,2,15,0.7604166666666666,0.015956640243530273,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7829385307346327,0.7829385307346327,0.035464342176390405
6,2,15,0.71875,0.010763168334960938,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7916641679160421,0.7916641679160421,0.03689954583897688
7,2,15,0.8072916666666666,0.010594606399536133,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7586206896551724,0.7586206896551724,0.03973573551088796
8,4,30,0.8125,0.0377047061920166,"{'nystroem__gamma': 0.0013810679320049757, 'svm__C': 100.0}",0.7638830584707647,0.7638830584707647,0.035415213525991494
9,4,30,0.7604166666666666,0.0202028751373291,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7829385307346327,0.7829385307346327,0.035464342176390405
10,4,30,0.7239583333333334,0.040604352951049805,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7968665667166416,0.7968665667166416,0.03046956306919752
11,4,30,0.8072916666666666,0.030486345291137695,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7586206896551724,0.7586206896551724,0.03973573551088796
12,5,38,0.8072916666666666,0.05245375633239746,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7587106446776611,0.7587106446776611,0.03683418661389401
13,5,38,0.7552083333333334,0.018964052200317383,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7829385307346327,0.7829385307346327,0.035464342176390405
14,5,38,0.7291666666666666,0.02857661247253418,"{'nystroem__gamma': 0.015625, 'svm__C': 3.1622776601683795}",0.7916641679160421,0.7916641679160421,0.03160106838099464
15,5,38,0.8072916666666666,0.03698897361755371,"{'nystroem__gamma': 0.0001220703125, 'svm__C': 100.0}",0.7586206896551724,0.7586206896551724,0.03973573551088796
