percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,64,0.8449152866485639,0.0,1.1006560325622559,0.0,0.8406618166519333,0.0,0.8406618166519333,0.011128254101844908
2,128,0.8446858148162313,0.0,1.653458595275879,0.0,0.84128462566406,0.0,0.84128462566406,0.011312906242270439
4,256,0.8452977397024515,0.0,3.8002524375915527,0.0,0.8411284978289233,0.0,0.8411284978289233,0.011431392502080072
5,320,0.8443798523731212,0.0,5.954018831253052,0.0,0.8433111260537716,0.0,0.8433111260537716,0.010369405219559457
7,448,0.845374230313229,0.0,8.05301308631897,0.0,0.8439352726096574,0.0,0.8439352726096574,0.010947757297813658
9,577,0.8441503805407886,0.0,9.708081722259521,0.0,0.8434673754837958,0.0,0.8434673754837958,0.008851738938835795
10,641,0.8445328335946762,0.0,10.803163528442383,0.0,0.8426875874723219,0.0,0.8426875874723219,0.008924449811899698
12,769,0.8449535319539526,0.0,13.108949422836304,0.0,0.8431551198135221,0.0,0.8431551198135221,0.00963485493093068
13,833,0.84472406012162,0.0,11.313024759292603,0.0,0.8440909140652453,0.0,0.8440909140652453,0.009458571343165403
15,962,0.8448387960377863,0.0,16.10726499557495,0.0,0.8425314596371851,0.0,0.8425314596371851,0.010001589383871514
17,1090,0.8446093242054538,0.0,17.965052843093872,0.0,0.8425312164474109,0.0,0.8425312164474109,0.008995287072739302
18,1154,0.84441809767851,0.0,18.984817028045654,0.0,0.841440267119648,0.0,0.841440267119648,0.009036310505095946
20,1282,0.8445328335946762,0.0,21.013546228408813,0.0,0.8425317028269594,0.0,0.8425317028269594,0.009447797620071701
21,1346,0.8442651164569549,0.0,22.01286292076111,0.0,0.8429994783579339,0.0,0.8429994783579339,0.010208520920497536
23,1475,0.84472406012162,0.0,20.65277910232544,0.0,0.8433107612691103,0.0,0.8433107612691103,0.009221986312230944
25,1603,0.8442651164569549,0.0,22.080509901046753,0.0,0.8431554845981836,0.0,0.8431554845981836,0.00858832421766766
