percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,64,0.8257926339541821,0.0,0.08662986755371094,0.0,0.826785286532272,0.0,0.826785286532272,0.007781829924025777
2,128,0.8441121352353999,0.0,0.1155552864074707,0.0,0.841128254639149,0.0,0.841128254639149,0.0031981802624078174
4,256,0.8433472291276246,0.0,0.1862804889678955,0.0,0.841128862613585,0.0,0.841128862613585,0.004657883087226918
5,320,0.8435384556545684,0.0,0.22178196907043457,0.0,0.8420642920806465,0.0,0.8420642920806465,0.003098749584131034
7,448,0.8450300225647301,0.0,0.3102741241455078,0.0,0.8409723699937863,0.0,0.8409723699937863,0.0032942787364230283
9,577,0.8439591540138448,0.0,0.4479212760925293,0.0,0.841440267119648,0.0,0.841440267119648,0.0032335493117281676
10,641,0.8443416070677324,0.0,0.45924973487854004,0.0,0.8406607222979489,0.0,0.8406607222979489,0.002515025755083271
12,769,0.8442268711515661,0.0,0.5539710521697998,0.0,0.840660843892836,0.0,0.840660843892836,0.004265302048415966
13,833,0.8438444180976785,0.0,0.6237695217132568,0.0,0.8403493177918854,0.0,0.8403493177918854,0.003982931313519975
15,962,0.8434237197384021,0.0,0.7127978801727295,0.0,0.8406607222979489,0.0,0.8406607222979489,0.003722682040311996
17,1090,0.8439973993192336,0.0,0.8718783855438232,0.0,0.8406604791081744,0.0,0.8406604791081744,0.004419008101599942
18,1154,0.8440356446246223,0.0,0.9034676551818848,0.0,0.8422201767260091,0.0,0.8422201767260091,0.0018801332531656772
20,1282,0.8441886258461774,0.0,0.923572301864624,0.0,0.8405053240321351,0.0,0.8405053240321351,0.0033198919219289327
21,1346,0.8439973993192336,0.0,0.9767310619354248,0.0,0.8417521580052603,0.0,0.8417521580052603,0.00216730346239843
23,1475,0.8441121352353999,0.0,1.0282080173492432,0.0,0.8406607222979489,0.0,0.8406607222979489,0.0027898666470493856
25,1603,0.844571078900065,0.0,1.1584320068359375,0.0,0.8414406319043095,0.0,0.8414406319043095,0.003706866425955051
