,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,64,0.8327915248403258,1.2425434589385986,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8291246505666929,0.8291246505666929,0.004303667027654954
1,2,128,0.8420086434390178,1.546842098236084,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8373864151760146,0.8373864151760146,0.00817974263429223
2,4,256,0.8436531915707347,2.167245626449585,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.839568921805976,0.839568921805976,0.008472960895072008
3,5,320,0.8435002103491797,5.2377235889434814,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8417514284359371,0.8417514284359371,0.008528578848263618
4,7,448,0.8442268711515661,6.683986663818359,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8420633193215492,0.8420633193215492,0.0077131070617489006
5,9,577,0.8438444180976785,9.232572317123413,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8428423777636999,0.8428423777636999,0.008961741879104255
6,10,641,0.842964776073737,9.968807935714722,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8405048376525863,0.8405048376525863,0.008054847104791773
7,12,769,0.8439973993192336,12.34386682510376,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8412841392845113,0.8412841392845113,0.009160453639533437
8,13,833,0.8438061727922898,13.544503211975098,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8408158773739881,0.8408158773739881,0.007090149366699458
9,15,962,0.8444563429838987,15.545433759689331,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8408166069433113,0.8408166069433113,0.008649315908277111
10,17,1090,0.8434237197384021,17.479843616485596,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8425314596371851,0.8425314596371851,0.007850971557783953
11,18,1154,0.8439591540138448,18.370495796203613,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.842219447156686,0.842219447156686,0.009527078689049322
12,20,1282,0.8433089838222358,20.223294734954834,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8425313380422981,0.8425313380422981,0.00903348171994412
13,21,1346,0.8432707385168471,21.645170211791992,"{'fourier_random_features__gamma': 5.5294116063016006e-05, 'svm__C': 100.0}",0.8419076778659612,0.8419076778659612,0.008103816051030121
14,23,1475,0.8415496997743527,20.09768533706665,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8408164853484241,0.8408164853484241,0.011444811017941599
15,25,1603,0.8405935671396336,25.966375589370728,"{'fourier_random_features__gamma': 0.0003850905910849588, 'svm__C': 100.0}",0.8422202983208962,0.8422202983208962,0.009293004422960433
