,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,64,0.8257926339541821,0.08662986755371094,"{'fourier_random_features__gamma': 0.0010162601626016261, 'ridge_classification__alpha': 0.1}",0.826785286532272,0.826785286532272,0.007781829924025777
1,2,128,0.8441121352353999,0.1155552864074707,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.841128254639149,0.841128254639149,0.0031981802624078174
2,4,256,0.8433472291276246,0.1862804889678955,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.841128862613585,0.841128862613585,0.004657883087226918
3,5,320,0.8435384556545684,0.22178196907043457,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8420642920806465,0.8420642920806465,0.003098749584131034
4,7,448,0.8450300225647301,0.3102741241455078,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8409723699937863,0.8409723699937863,0.0032942787364230283
5,9,577,0.8439591540138448,0.4479212760925293,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.841440267119648,0.841440267119648,0.0032335493117281676
6,10,641,0.8443416070677324,0.45924973487854004,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8406607222979489,0.8406607222979489,0.002515025755083271
7,12,769,0.8442268711515661,0.5539710521697998,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.840660843892836,0.840660843892836,0.004265302048415966
8,13,833,0.8438444180976785,0.6237695217132568,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8403493177918854,0.8403493177918854,0.003982931313519975
9,15,962,0.8434237197384021,0.7127978801727295,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8406607222979489,0.8406607222979489,0.003722682040311996
10,17,1090,0.8439973993192336,0.8718783855438232,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8406604791081744,0.8406604791081744,0.004419008101599942
11,18,1154,0.8440356446246223,0.9034676551818848,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8422201767260091,0.8422201767260091,0.0018801332531656772
12,20,1282,0.8441886258461774,0.923572301864624,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8405053240321351,0.8405053240321351,0.0033198919219289327
13,21,1346,0.8439973993192336,0.9767310619354248,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8417521580052603,0.8417521580052603,0.00216730346239843
14,23,1475,0.8441121352353999,1.0282080173492432,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8406607222979489,0.8406607222979489,0.0027898666470493856
15,25,1603,0.844571078900065,1.1584320068359375,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8414406319043095,0.8414406319043095,0.003706866425955051
