percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,41,0.5479506895004427,0.020954872854508595,0.6885127425193787,0.05605116330273629,0.5454171756213074,0.009699773685256716,0.5454171756213074,0.02759264879831782
2,83,0.5646384985707267,0.02182072112601298,0.8341414332389832,0.27688759304220445,0.5605197663004173,0.010000398691857872,0.5605197663004173,0.025034143306214972
4,167,0.5619715742935265,0.017296999756804023,0.9867370128631592,0.11858806037329322,0.5569231154195966,0.009260586632476019,0.5569231154195966,0.02323118962739701
5,208,0.5655989764884246,0.022741588989542916,1.308955192565918,0.47031714284151116,0.5625970752023853,0.008619434859242098,0.5625970752023853,0.022676153988499696
7,292,0.5665594892000878,0.01909165766988399,2.013992130756378,0.5721507290739597,0.5613267373056854,0.00921130963894411,0.5613267373056854,0.024385756698156288
9,375,0.5674005157116075,0.018022368352041736,2.5327802300453186,0.42631036419364765,0.5606582021388354,0.011126687312553151,0.5606582021388354,0.02368632816953781
10,417,0.5672374224525818,0.01998808671922378,3.105218529701233,0.14301494441864304,0.5633096578691451,0.010237519218443965,0.5633096578691451,0.023840964400746886
12,501,0.5643154938958219,0.022089014374065786,3.4571858644485474,1.022399608079946,0.5628518194309378,0.00968322801284857,0.5628518194309378,0.021023572863861535
13,543,0.565577745164162,0.01972647414339012,4.35132497549057,0.035359158925742956,0.563314019530345,0.010118731530352969,0.563314019530345,0.02300647812287571
15,626,0.5644720997573709,0.02049134202598724,4.789786279201508,0.2620628877649227,0.5640631627077994,0.009159148157205524,0.5640631627077994,0.022437326475260037
17,710,0.5646899254275208,0.018813576420199228,4.822662353515625,1.3200072621565224,0.5626750111649998,0.009346929935310586,0.5626750111649998,0.023510013526324362
18,751,0.5677141375838048,0.02016514926545473,5.938713431358337,0.04462333477784768,0.5637231004831018,0.010288306011725245,0.5637231004831018,0.023261399045605854
20,835,0.5613939929883409,0.019332397734973958,6.9218199253082275,0.41563844161060914,0.5646189978970356,0.010665976836666424,0.5646189978970356,0.02323438143186709
21,877,0.5667137898189483,0.021015065997635834,6.1053982973098755,1.1112776404265763,0.5638255595052702,0.010150511210756165,0.5638255595052702,0.022720603581918932
23,960,0.5691488445816631,0.02009887058596726,7.015890657901764,0.6170205930598511,0.5638308216372444,0.008820611650031764,0.5638308216372444,0.023374678774255087
25,1044,0.5639688581830262,0.020778801936367546,4.580390512943268,0.3086751770017716,0.5641125088951269,0.009117567055807603,0.5641125088951269,0.021709215773316408
