,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,41,0.5440812886366497,0.020296812057495117,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5615561018810074,0.5615561018810074,0.04589205788821109
1,1,41,0.5190240913279209,0.019578218460083008,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0001}",0.5679446065041944,0.5679446065041944,0.02221454092993005
2,1,41,0.5971950755197917,0.011406421661376953,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5382849600945208,0.5382849600945208,0.007920188550015268
3,1,41,0.5444942382207889,0.03121185302734375,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5572467660378916,0.5572467660378916,0.03412720931174962
4,2,83,0.5590313837488521,0.027693986892700195,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5687699269335733,0.5687699269335733,0.03394732438250207
5,2,83,0.4261466115748118,0.0415339469909668,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5754665523469192,0.5754665523469192,0.029383377007152146
6,2,83,0.6181847701795032,0.06363749504089355,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5481157689496605,0.5481157689496605,0.010155348472635285
7,2,83,0.5555488923352747,0.028010129928588867,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5706983673854079,0.5706983673854079,0.02580533578659483
8,4,167,0.5549604245398547,0.056966304779052734,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5745520939241392,0.5745520939241392,0.03456915153719927
9,4,167,0.5488433266622766,0.05610322952270508,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5709644592369798,0.5709644592369798,0.03127263724798003
10,4,167,0.6235063125404168,0.05611538887023926,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5533884829825866,0.5533884829825866,0.009781175845403308
11,4,167,0.5500868101371827,0.03052067756652832,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5723686442598099,0.5723686442598099,0.019782817293765593
