percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score
1,3,-0.10523720472944209,0.0,0.0042231082916259766,0.0,0.28616050875769217,0.0,0.28616050875769217,0.2105708042591143
2,6,0.5146677554530492,0.0,0.00397944450378418,0.0,0.4913757087152999,0.0,0.4913757087152999,0.10373789823668578
4,13,0.7238952687800112,0.0,0.004117250442504883,0.0,0.7516605620924642,0.0,0.7516605620924642,0.08689396690142098
5,16,0.47901175545105024,0.0,0.004287242889404297,0.0,0.7938795105703778,0.0,0.7938795105703778,0.04983649797263295
7,23,0.71664609567651,0.0,0.004581451416015625,0.0,0.798770901541267,0.0,0.798770901541267,0.043564217480448725
9,30,0.7731936620903643,0.0,0.009310007095336914,0.0,0.8109673443856821,0.0,0.8109673443856821,0.030113833193400004
10,33,0.7812283733584144,0.0,0.03960847854614258,0.0,0.7998182182034513,0.0,0.7998182182034513,0.03444616541433563
12,40,0.7801218515484382,0.0,0.012934684753417969,0.0,0.8070778450653711,0.0,0.8070778450653711,0.036513891149177136
13,43,0.7817409946277968,0.0,0.00986027717590332,0.0,0.807554060281441,0.0,0.807554060281441,0.03802358874125702
15,50,0.7809727561519803,0.0,0.0075719356536865234,0.0,0.8064615962294251,0.0,0.8064615962294251,0.031374848134963294
17,57,0.7805087075994801,0.0,0.008953094482421875,0.0,0.806854412123986,0.0,0.806854412123986,0.036417069087882885
18,60,0.7874433006201278,0.0,0.022664546966552734,0.0,0.8088538790808814,0.0,0.8088538790808814,0.03302803966664003
20,67,0.7829100269272394,0.0,0.014047384262084961,0.0,0.8140922146504623,0.0,0.8140922146504623,0.025501070803059658
21,70,0.7809553596597225,0.0,0.014420509338378906,0.0,0.8070958358674716,0.0,0.8070958358674716,0.03647483234847373
23,77,0.7616998922203216,0.0,0.010259389877319336,0.0,0.8073525090658226,0.0,0.8073525090658226,0.03694313398555293
25,84,0.7814439811148242,0.0,0.0623776912689209,0.0,0.8089292462952793,0.0,0.8089292462952793,0.03665301644992268
