,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,3,0.03408836423936201,0.014656543731689453,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.3002592524861643,0.3002592524861643,0.2152401968739911
1,2,6,0.12106080191462687,0.01861572265625,"{'regressor__fourier_random_features__gamma': 0.02061731110582645, 'regressor__svm__C': 6.30957344480193}",0.40217607437223535,0.40217607437223535,0.12424906530652441
2,4,13,0.6827381740330283,0.017256975173950195,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7298658633214853,0.7298658633214853,0.03875614256412094
3,5,16,0.7203672741642118,0.03364062309265137,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7246230725456179,0.7246230725456179,0.05073655770059061
4,7,23,0.7124769460678213,0.027307748794555664,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7783674466628557,0.7783674466628557,0.04006353714397702
5,9,30,0.8128200722728383,0.029869794845581055,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.7919099037938832,0.7919099037938832,0.03241465974453308
6,10,33,0.7837439899138121,0.033446550369262695,"{'regressor__fourier_random_features__gamma': 0.0029603839189656206, 'regressor__svm__C': 100.0}",0.8030707308127489,0.8030707308127489,0.0328689780935548
7,12,40,0.7554715574075966,0.023397207260131836,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.8017035445377957,0.8017035445377957,0.02248857073196916
8,13,43,0.7545639103431189,0.024401426315307617,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7894181312495098,0.7894181312495098,0.0496506522056844
9,15,50,0.7644997750260312,0.017705678939819336,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7996403083443979,0.7996403083443979,0.035119839478499136
10,17,57,0.7491731956170008,0.0250546932220459,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7975801187293536,0.7975801187293536,0.04222681163665068
11,18,60,0.7837299967442306,0.018421411514282227,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.8033734440717529,0.8033734440717529,0.038927211301312645
12,20,67,0.7788569247100747,0.02869558334350586,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7989572586188937,0.7989572586188937,0.03261909695258446
13,21,70,0.751861659854822,0.018210411071777344,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.8015984604524509,0.8015984604524509,0.03677216215204695
14,23,77,0.7775193140265111,0.034893035888671875,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.80153685787411,0.80153685787411,0.03575618038235812
15,25,84,0.7529294175685296,0.0283658504486084,"{'regressor__fourier_random_features__gamma': 0.00042507351723443555, 'regressor__svm__C': 100.0}",0.7985568451651992,0.7985568451651992,0.03127134859520012
