,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,49,0.9783883845930816,0.19497084617614746,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.975978187227677,0.975978187227677,0.004435180427029727
1,2,98,0.979704262104958,0.2332150936126709,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9755720983812386,0.9755720983812386,0.006130510747509239
2,4,196,0.9814661997903518,0.3390798568725586,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9753686395816455,0.9753686395816455,0.006109861333351552
3,5,245,0.9801280192697995,0.5045394897460938,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.9743488593254368,0.9743488593254368,0.003426631763208551
4,7,343,0.9808417155474274,0.4885554313659668,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9733323940802192,0.9733323940802192,0.00550455415726619
5,9,442,0.9820237750072485,0.6838600635528564,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 100.0}",0.9739433920435593,0.9739433920435593,0.007176143962470864
6,10,491,0.9805963824519928,0.8047952651977539,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9733334300211538,0.9733334300211538,0.007395192241147043
7,12,589,0.9807748065213997,1.0631263256072998,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9717045164952876,0.9717045164952876,0.006872699102305764
8,13,638,0.9777192943328055,1.134972095489502,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 3.1622776601683795}",0.9733311509510975,0.9733311509510975,0.00451944947842661
9,15,736,0.982090684033276,1.5744843482971191,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.972925476481033,0.972925476481033,0.005473466583565345
10,17,835,0.9794589290095234,1.6931354999542236,"{'nystroem__gamma': 3.6828478186799355e-05, 'svm__C': 3.1622776601683795}",0.9733311509510972,0.9733311509510972,0.004872762086776248
11,18,884,0.9702031804090372,1.745321273803711,"{'nystroem__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
12,20,982,0.9702031804090372,1.9373278617858887,"{'nystroem__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
13,21,1031,0.9702031804090372,2.001805305480957,"{'nystroem__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
14,23,1129,0.9824029261547382,2.6446499824523926,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.9715012648838813,0.9715012648838813,0.007791978003205002
15,25,1228,0.9826928652675246,2.9239931106567383,"{'nystroem__gamma': 0.0004166666666666667, 'svm__C': 3.1622776601683795}",0.973128935280626,0.973128935280626,0.005586438002937711
