,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score
0,1,49,0.9769163860204741,0.0905754566192627,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9735354385034383,0.9735354385034383,0.00585671164380677
1,2,98,0.9804625643999375,0.10236883163452148,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'ridge_classification__alpha': 0.0001}",0.972721188928692,0.972721188928692,0.0033591433977961027
2,4,196,0.9813323817382965,0.12516379356384277,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9731283137160652,0.9731283137160652,0.004660034566839016
3,5,245,0.9805963824519928,0.1619265079498291,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9710941400965082,0.9710941400965082,0.006632347327028106
4,7,343,0.9805517764346411,0.24117612838745117,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.972721188928692,0.972721188928692,0.0054689378523527276
5,9,442,0.9819791689898968,0.271909236907959,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9733321868920323,0.9733321868920323,0.006212262292446245
6,10,491,0.9822021990766554,0.3294410705566406,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741462292785915,0.9741462292785915,0.005002678087167175
7,12,589,0.9817338358944622,0.38318705558776855,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9735358528798121,0.9735358528798121,0.006198485281859214
8,13,638,0.9808194125387515,0.399550199508667,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9735356456916252,0.9735356456916252,0.006232430307349694
9,15,736,0.9817784419118138,0.4641902446746826,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9727220176814398,0.9727220176814398,0.006309125124010099
10,17,835,0.9702031804090372,0.5234997272491455,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'ridge_classification__alpha': 3.1622776601683795}",0.9708877806622978,0.9708877806622978,0.0004891889916047848
11,18,884,0.9821575930593037,0.5736196041107178,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9733321868920323,0.9733321868920323,0.006077253442716754
12,20,982,0.982090684033276,0.6839394569396973,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9741464364667785,0.9741464364667785,0.0055511019870030315
13,21,1031,0.9822021990766554,0.6802184581756592,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9729252692928461,0.9729252692928461,0.005320707997187458
14,23,1129,0.9825144411981176,0.7078976631164551,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.9729252692928461,0.9729252692928461,0.005840046638877185
15,25,1228,0.9826928652675246,0.9581484794616699,"{'fourier_random_features__gamma': 0.0004166666666666667, 'ridge_classification__alpha': 3.1622776601683795}",0.972925476481033,0.972925476481033,0.006381352682283713
