,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,81,0.9124969828665845,0.05555105209350586,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9215262152220614,0.9215262152220614,0.008781668096826251,0.04080638885498047,0.00020742419670367803
1,1,81,0.896856125154317,0.04803204536437988,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9228530128594125,0.9228530128594125,0.02532080078352632,0.030472850799560545,0.007772496344102824
2,1,81,-0.33121698355201445,0.04615044593811035,"{'regressor__fourier_random_features__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9276274250443102,0.9276274250443102,0.011944097389171448,0.03176732063293457,0.0027560949671023953
3,1,81,0.9258128475785111,0.03971600532531738,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9120951417625627,0.9120951417625627,0.0071373561924401915,0.03541111946105957,0.00021394865519005333
4,2,163,0.9563467143018607,0.10973644256591797,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9486598925535675,0.9486598925535675,0.00282188949574441,0.06864643096923828,0.0032866553076065595
5,2,163,0.946494413844943,0.08574843406677246,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.9397771658409582,0.9397771658409582,0.008751411398740867,0.06363201141357422,0.009131167737919
6,2,163,0.8878713153720825,0.07546687126159668,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.946326744194649,0.946326744194649,0.005589129894812406,0.06545529365539551,0.008098948605945192
7,2,163,0.9435070201375154,0.0831758975982666,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9460018119553286,0.9460018119553286,0.02033650283648874,0.0689457893371582,0.00035777844120250737
8,4,327,0.950578995455319,0.1559467315673828,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9609359977284683,0.9609359977284683,0.004089155720687324,0.14205389022827147,0.017820212415938112
9,4,327,0.9586525289650307,0.15123605728149414,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.1}",0.949747831159095,0.949747831159095,0.004034432532303987,0.14263057708740234,0.01614039229636164
10,4,327,0.9528289848222817,0.21119236946105957,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.953650537479945,0.953650537479945,0.009810655205474687,0.149962854385376,0.001445153887880356
11,4,327,0.9570617928623123,0.14033937454223633,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9533862635052193,0.9533862635052193,0.020886940393438504,0.14792203903198242,0.003284707070750261
12,5,409,0.9634450425406811,0.1866159439086914,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9642146840215468,0.9642146840215468,0.003857983996002783,0.1823103904724121,0.02118180003495214
13,5,409,0.9651584581251883,0.23191094398498535,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9503386930770539,0.9503386930770539,0.018872333839495093,0.18840513229370118,0.02304594704228604
14,5,409,0.9607875548407763,0.20949220657348633,"{'regressor__fourier_random_features__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9637880580923313,0.9637880580923313,0.0037571482503622683,0.19001302719116211,0.023434554703552823
