,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.7916666666666666,0.0012142658233642578,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7673313343328336,0.7673313343328336,0.040341270122176504,0.0010899543762207032,0.0001302532521982967
1,1,7,0.734375,0.0012450218200683594,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7759970014992504,0.7759970014992504,0.029086090968227687,0.0009954452514648437,7.656413158754072e-05
2,1,7,0.734375,0.001195669174194336,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7864467766116942,0.7864467766116942,0.04069017443783749,0.001130390167236328,6.041611472893515e-05
3,1,7,0.7916666666666666,0.0012998580932617188,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7534932533733134,0.7534932533733134,0.038970867219322324,0.0010708808898925782,9.002056645393593e-05
4,2,15,0.8072916666666666,0.0013821125030517578,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092954,0.7656371814092954,0.03243463167151742,0.0013618946075439453,8.53272615071804e-05
5,2,15,0.734375,0.0013740062713623047,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7777661169415293,0.7777661169415293,0.03049578453863998,0.0011578083038330078,0.00013486253090485022
6,2,15,0.7135416666666666,0.0013701915740966797,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0001}",0.8055622188905547,0.8055622188905547,0.02830926147678651,0.0010859966278076172,7.386775515192031e-05
7,2,15,0.8020833333333334,0.001402139663696289,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0011209964752197266,9.220104844876241e-05
8,3,23,0.8072916666666666,0.0016140937805175781,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092954,0.7656371814092954,0.03243463167151742,0.001300954818725586,0.00010667057188761788
9,3,23,0.7395833333333334,0.0014712810516357422,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7777811094452773,0.7777811094452773,0.037514635814076124,0.0012470245361328124,0.00010344779662528546
10,3,23,0.7239583333333334,0.0023651123046875,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8003448275862068,0.8003448275862068,0.032543459534480026,0.0014438152313232422,0.00035228351674640787
11,3,23,0.8020833333333334,0.001497030258178711,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7620989505247376,0.7620989505247376,0.03822946171324127,0.0013788223266601562,0.00018383958054347775
12,4,30,0.7760416666666666,0.0016589164733886719,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7725787106446776,0.7725787106446776,0.040873436905844385,0.001582193374633789,0.0003762659562549428
13,4,30,0.7395833333333334,0.0015761852264404297,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7777961019490255,0.7777961019490255,0.037821912237886765,0.0014811992645263673,0.00010666300461610767
14,4,30,0.7135416666666666,0.0016109943389892578,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055472263868065,0.8055472263868065,0.03837542128593361,0.0014088153839111328,0.00015060801812934556
15,4,30,0.8072916666666666,0.001645803451538086,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7620989505247376,0.7620989505247376,0.03822946171324127,0.001336383819580078,0.00011409333213767279
16,5,38,0.7916666666666666,0.0017099380493164062,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7691004497751125,0.7691004497751125,0.03985932434288737,0.0014966964721679688,0.00010293506165576014
17,5,38,0.7447916666666666,0.0020389556884765625,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7830134932533733,0.7830134932533733,0.048119622017451395,0.001462268829345703,0.0001478602291776682
18,5,38,0.7291666666666666,0.0029990673065185547,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8020839580209895,0.8020839580209895,0.03745235467176693,0.0014927387237548828,0.0001079451274182243
19,5,38,0.8229166666666666,0.0031239986419677734,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7603448275862069,0.7603448275862069,0.040610760320852146,0.001611042022705078,0.00010086175622863938
20,6,46,0.796875,0.0021009445190429688,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.767376311844078,0.767376311844078,0.038940078212894615,0.001816558837890625,0.0002063331962453816
21,6,46,0.765625,0.001973867416381836,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7760869565217391,0.7760869565217391,0.050591958983613426,0.0018501758575439453,0.0006531879175421615
22,6,46,0.7291666666666666,0.002012014389038086,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8090254872563719,0.8090254872563719,0.036486271653442856,0.0016265869140625,0.00017008278119827195
23,6,46,0.8177083333333334,0.0024170875549316406,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0018417835235595703,8.362356202425334e-05
24,7,53,0.7916666666666666,0.0028581619262695312,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.0018207073211669923,0.00013758884806725123
25,7,53,0.765625,0.0025000572204589844,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7760869565217391,0.7760869565217391,0.05377963859501295,0.0017943859100341796,0.0001455920110273227
26,7,53,0.7291666666666666,0.002501249313354492,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.8055472263868065,0.8055472263868065,0.03915564393873035,0.00170135498046875,0.00012929894787333827
27,7,53,0.8177083333333334,0.003629922866821289,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0018558025360107422,0.00010570850663312133
28,8,61,0.7916666666666666,0.005003929138183594,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.0020395755767822266,0.0001688591806095564
29,8,61,0.765625,0.005398988723754883,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7778260869565218,0.7778260869565218,0.05682859846085044,0.0025330066680908205,0.0009802942505305766
30,8,61,0.71875,0.005154848098754883,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8107646176911544,0.8107646176911544,0.034510438014106554,0.0021326541900634766,0.0001488712030746892
31,8,61,0.8177083333333334,0.004212141036987305,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.002100849151611328,9.745385012461806e-05
32,9,69,0.796875,0.0032498836517333984,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.002001237869262695,5.336964612234548e-05
33,9,69,0.7760416666666666,0.004132986068725586,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7795652173913045,0.7795652173913045,0.051510272068243095,0.002401590347290039,0.00045873288526803563
34,9,69,0.71875,0.005146026611328125,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055622188905547,0.8055622188905547,0.035851725654855345,0.002178955078125,0.00015433469425136262
35,9,69,0.8177083333333334,0.005115032196044922,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0021758079528808594,0.00010905027074164767
36,10,76,0.796875,0.003718852996826172,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.0023230552673339845,0.00011425864088056712
37,10,76,0.765625,0.003101825714111328,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7778260869565218,0.7778260869565218,0.05493422772899856,0.0025738239288330077,0.0004070575526108938
38,10,76,0.71875,0.0031418800354003906,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055472263868065,0.8055472263868065,0.036765336556400546,0.002298402786254883,0.0001282847405696211
39,10,76,0.8177083333333334,0.003178119659423828,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0025122642517089845,7.469671966526457e-05
40,11,84,0.7916666666666666,0.0046842098236083984,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.002660322189331055,0.00016003470576241312
41,11,84,0.765625,0.007365226745605469,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7795652173913044,0.7795652173913044,0.05546844672632022,0.002510738372802734,9.182494643748022e-05
42,11,84,0.71875,0.004615306854248047,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8072863568215892,0.8072863568215892,0.03180865223010424,0.0025961875915527345,0.00012601015344032777
43,11,84,0.8177083333333334,0.003639698028564453,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.002689647674560547,6.293426806567987e-05
44,12,92,0.7916666666666666,0.0035369396209716797,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.0028839111328125,0.00017124157808055777
45,12,92,0.7552083333333334,0.01340627670288086,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7795802098950525,0.7795802098950525,0.054841127803992695,0.0028601646423339843,0.00012073989530473528
46,12,92,0.7291666666666666,0.005389213562011719,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.803823088455772,0.803823088455772,0.03909618403713888,0.0033783912658691406,0.0004977151930839339
47,12,92,0.8177083333333334,0.004200935363769531,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.00290374755859375,0.00011491660754631965
48,13,99,0.796875,0.0044100284576416016,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.002986431121826172,7.20369811782347e-05
49,13,99,0.7604166666666666,0.003921985626220703,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7760869565217392,0.7760869565217392,0.052929314064463294,0.0030205249786376953,0.00010053238221315391
50,13,99,0.71875,0.004890918731689453,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8038230884557722,0.8038230884557722,0.030390733331533852,0.0031607627868652345,0.00018434011429514896
51,13,99,0.8177083333333334,0.004311084747314453,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.0031847000122070313,5.924394185089674e-05
52,14,107,0.796875,0.005274057388305664,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.0037583827972412108,0.0007348031118830104
53,14,107,0.7552083333333334,0.005246877670288086,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7778260869565218,0.7778260869565218,0.053540084448216146,0.0032555580139160155,5.948348128141857e-05
54,14,107,0.71875,0.004601716995239258,"{'nystroem__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.8055472263868065,0.8055472263868065,0.02787509255517988,0.0036946773529052735,0.0008335978716241132
55,14,107,0.8177083333333334,0.005139827728271484,"{'nystroem__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7655622188905546,0.7655622188905546,0.038026487147405516,0.003361415863037109,9.978658089274796e-05
56,15,115,0.796875,0.00675511360168457,"{'nystroem__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656371814092953,0.7656371814092953,0.038411531931871704,0.004197263717651367,0.0009525316259011929
