,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,7,0.78125,0.001190185546875,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0001}",0.7621289355322338,0.7621289355322338,0.01977865281292255,0.0012187957763671875,2.2951178486067676e-05
1,1,7,0.7239583333333334,0.0010228157043457031,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7759970014992503,0.7759970014992503,0.03476995323716259,0.0009505748748779297,9.466292514827706e-05
2,1,7,0.7083333333333334,0.0010399818420410156,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7829685157421289,0.7829685157421289,0.02347762899308825,0.0011383056640625,0.0004649324071954866
3,1,7,0.7760416666666666,0.0010979175567626953,"{'fourier_random_features__gamma': 0.0001220703125, 'ridge_classification__alpha': 0.0031622776601683794}",0.7481709145427285,0.7481709145427285,0.03896792554337529,0.0010204315185546875,8.249282836914062e-05
4,2,15,0.828125,0.0011470317840576172,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7656521739130435,0.7656521739130435,0.030385052538532475,0.0009668350219726562,0.00010683987445590443
5,2,15,0.7552083333333334,0.0010848045349121094,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0001}",0.7777961019490255,0.7777961019490255,0.037821912237886765,0.0009187698364257812,0.00011557676972919327
6,2,15,0.7239583333333334,0.0011789798736572266,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7950974512743627,0.7950974512743627,0.029659083243853496,0.001016998291015625,0.0001094250997339015
7,2,15,0.828125,0.0011219978332519531,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.7673013493253373,0.7673013493253373,0.04230385132300938,0.0010549068450927735,0.00020560898672178607
8,3,23,0.796875,0.0013580322265625,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 3.1622776601683795}",0.7690554722638681,0.7690554722638681,0.030200366055307983,0.0011373519897460937,0.00016834868061987512
9,3,23,0.734375,0.0011761188507080078,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.0001}",0.7812293853073464,0.7812293853073464,0.03875779995563259,0.0009652137756347656,0.00010469313547999079
10,3,23,0.7291666666666666,0.0013058185577392578,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.0031622776601683794}",0.7950524737631185,0.7950524737631185,0.04169512060537698,0.0009835720062255859,5.945407923959933e-05
11,3,23,0.796875,0.0012459754943847656,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.1}",0.7621139430284856,0.7621139430284856,0.0220916259712128,0.0010582923889160157,0.00011388698268383491
12,4,30,0.8177083333333334,0.0012979507446289062,"{'fourier_random_features__gamma': 0.0013810679320049757, 'ridge_classification__alpha': 0.0031622776601683794}",0.767376311844078,0.767376311844078,0.03018964652639913,0.0012375354766845704,0.0001748415368931649
13,4,30,0.75,0.0012531280517578125,"{'fourier_random_features__gamma': 0.015625, 'ridge_classification__alpha': 0.1}",0.7847376311844078,0.7847376311844078,0.044390816198860976,0.0014923572540283202,0.000393068950777007
