percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,0.7590545760507897,0.0,0.0076639652252197266,0.0,0.7555348168720203,0.0,0.7555348168720203,0.0003405834370695364,0.0075530529022216795,0.0003290286407842772
0,65,0.8234979156308563,0.0,0.04623532295227051,0.0,0.8286555374919595,0.0,0.8286555374919595,0.008411216309636796,0.03231525421142578,0.0030604960872383288
1,129,0.8425823230198494,0.0,0.09108924865722656,0.0,0.8386350730724474,0.0,0.8386350730724474,0.008980872688418035,0.096484375,0.012346660067478872
2,193,0.8452977397024515,0.0,0.15989899635314941,0.0,0.8419081642455097,0.0,0.8419081642455097,0.007238170440339672,0.13394598960876464,0.027257546193903328
2,257,0.8434237197384021,0.0,0.1086587905883789,0.0,0.8411275250698258,0.0,0.8411275250698258,0.0070942723252070865,0.12642741203308105,0.020886770181116704
3,321,0.8457566833671167,0.0,0.16703009605407715,0.0,0.8417516716257113,0.0,0.8417516716257113,0.007261427213992881,0.1673379898071289,0.021710621303846864
4,385,0.8448770413431751,0.0,0.25404906272888184,0.0,0.8415966381445592,0.0,0.8415966381445592,0.006259129603739193,0.26666603088378904,0.022325030636680468
4,449,0.8441121352353999,0.0,0.31154799461364746,0.0,0.8409722483988993,0.0,0.8409722483988993,0.006153510858046589,0.2875254154205322,0.02756244826321745
5,514,0.8453359850078402,0.0,0.23800992965698242,0.0,0.8414400239298738,0.0,0.8414400239298738,0.004527553083818962,0.2535103321075439,0.021027822119990207
6,578,0.845871419283283,0.0,0.2656588554382324,0.0,0.8428428641432484,0.0,0.8428428641432484,0.0064803222757329835,0.2662354469299316,0.009472495459873394
6,642,0.8451065131755077,0.0,0.4039139747619629,0.0,0.8419080426506227,0.0,0.8419080426506227,0.006460511612072252,0.3917051315307617,0.06320146265229169
7,706,0.8465980800856695,0.0,0.3208279609680176,0.0,0.8420633193215492,0.0,0.8420633193215492,0.007822596891837464,0.3268305778503418,0.01629777199445842
8,770,0.8445328335946762,0.0,0.49317288398742676,0.0,0.8412838960947369,0.0,0.8412838960947369,0.007120688685735772,0.5083055973052979,0.031066216721338226
9,834,0.8448770413431751,0.0,0.31298398971557617,0.0,0.8437782936103103,0.0,0.8437782936103103,0.005870947763714969,0.32856011390686035,0.033366079490286984
9,898,0.8456801927563392,0.0,0.5782201290130615,0.0,0.8419080426506227,0.0,0.8419080426506227,0.008126391139336771,0.5648140430450439,0.03952221401384025
10,963,0.8457566833671167,0.0,0.430584192276001,0.0,0.8419076778659612,0.0,0.8419076778659612,0.0074800952884990215,0.41496763229370115,0.007837957048558265
11,1027,0.8451447584808964,0.0,0.45493507385253906,0.0,0.8420630761317748,0.0,0.8420630761317748,0.0063160292639690765,0.44118537902832033,0.01486411192848183
11,1091,0.84441809767851,0.0,0.5148410797119141,0.0,0.8422199335362347,0.0,0.8422199335362347,0.005143360207090049,0.5877209663391113,0.04710826522961292
12,1155,0.8451447584808964,0.0,0.4427971839904785,0.0,0.8409724915886738,0.0,0.8409724915886738,0.0054558474087137345,0.4093064785003662,0.0096667881113083
13,1219,0.8459096645886718,0.0,0.5346419811248779,0.0,0.8414397807400995,0.0,0.8414397807400995,0.007138288912031115,0.5289553165435791,0.019021154292734998
13,1283,0.8459479098940605,0.0,0.5928032398223877,0.0,0.8415961517650106,0.0,0.8415961517650106,0.00516682355570245,0.46897406578063966,0.020781629858773715
