,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,41,0.5399573970978508,0.7321789264678955,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5530831841204301,0.5530831841204301,0.02978907051877516,0.5842545986175537,0.12986927622504052
1,1,41,0.4905426201287719,1.2289905548095703,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5586528808300224,0.5586528808300224,0.02867004317699702,1.2466071128845215,0.21126539903007857
2,1,41,0.590666972632365,1.285938024520874,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5303718948312324,0.5303718948312324,0.011571153990772874,1.1646133422851563,0.178287885122796
3,1,41,0.5439975558771308,0.8036868572235107,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5452972451819529,0.5452972451819529,0.037374617471882705,0.5838245391845703,0.13535734597414104
4,2,83,0.5386511540717633,1.4013371467590332,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5651697198567682,0.5651697198567682,0.02930860363898366,1.261497402191162,0.2506309744525683
5,2,83,0.5582749005634382,1.2517988681793213,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.566021937631905,0.566021937631905,0.02181836529184307,1.2064279079437257,0.12798677302890973
6,2,83,0.5845300183150403,0.6244792938232422,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5444267590912085,0.5444267590912085,0.008542295115894013,0.5572072982788085,0.01621646984916168
7,2,83,0.5584129346569151,1.3138659000396729,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5634200845682555,0.5634200845682555,0.03139179805874448,1.2427043437957763,0.2175759955605266
8,4,167,0.5517207832971911,0.9056301116943359,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5674700368313923,0.5674700368313923,0.02975454766453836,0.805538272857666,0.1388555723546783
9,4,167,0.5449113551792366,0.9089915752410889,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.567689792160374,0.567689792160374,0.02300960252646736,1.0343904495239258,0.22615181329947748
10,4,167,0.5983724150066002,0.9345264434814453,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5443190956474065,0.5443190956474065,0.012635365041115265,0.9814386367797852,0.2247744617526853
11,4,167,0.5602264501822816,0.8510591983795166,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5633803517443242,0.5633803517443242,0.029232932284942236,0.9690163135528564,0.21567182471704732
12,5,208,0.5538565325353435,0.9141051769256592,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5693236126014367,0.5693236126014367,0.028636505899060045,1.297581720352173,0.51416675759108
13,5,208,0.5584820124988179,0.9151875972747803,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5728276743195706,0.5728276743195706,0.024265327034839315,1.336146068572998,0.5452692489673625
14,5,208,0.5976152766326134,0.9324028491973877,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.550246133493322,0.550246133493322,0.007286314126729028,1.2761639595031737,0.4315568527167454
15,5,208,0.5568831363076927,0.983116865158081,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5680546575806291,0.5680546575806291,0.029798263176735017,1.3970556259155273,0.5951212725135604
16,7,292,0.5476853407237392,2.3360860347747803,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5700826154777788,0.5700826154777788,0.024904997858841732,3.580124521255493,0.5681375837517356
17,7,292,0.5516571453722032,1.2144362926483154,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.570077068579911,0.570077068579911,0.022176625573805123,2.8612924098968504,0.477899664450326
18,7,292,0.59854969832006,1.3240981101989746,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5476846227265428,0.5476846227265428,0.00707552937919739,2.9072709560394285,0.4976860960653934
19,7,292,0.553825327063085,1.9453191757202148,"{'regressor__fourier_random_features__gamma': 0.005920767837931241, 'regressor__svm__C': 100.0}",0.5632243973809203,0.5632243973809203,0.030601373322396375,2.75988187789917,0.6008906106536837
20,9,375,0.5514513408907801,2.796267032623291,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5707334184380041,0.5707334184380041,0.0286420870801346,3.780176544189453,0.5238033449450201
21,9,375,0.5538158422829034,2.7946479320526123,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5685722980897052,0.5685722980897052,0.025569724725457058,3.5835383415222166,0.3077235059423624
22,9,375,0.6007454076972785,3.5682897567749023,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5476476297940647,0.5476476297940647,0.01039238470661269,3.1771132946014404,0.6935845196856483
23,9,375,0.5635798522827431,3.257852792739868,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5665566562061313,0.5665566562061313,0.028690120857357195,3.6245487689971925,0.551528520487353
24,10,417,0.5243666962068805,3.596168041229248,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5704197556424265,0.5704197556424265,0.03112456841572484,4.91335973739624,0.7383727872306174
25,10,417,0.5451336279230807,1.3251924514770508,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5684786876607637,0.5684786876607637,0.026555131961546716,3.846011686325073,0.8052848332456342
26,10,417,0.6010486742530294,3.1596004962921143,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5464559863354237,0.5464559863354237,0.006010580893987253,3.9435028553009035,0.7755058203168236
27,10,417,0.5630094639349297,3.2123782634735107,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5646880332846038,0.5646880332846038,0.029731265902186162,3.9339415550231935,0.7656401829384807
28,12,501,0.5519782413457677,4.07069206237793,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5719568472816834,0.5719568472816834,0.030940157585201633,5.089715242385864,0.7460323656425965
29,12,501,0.5525046369064135,4.098981142044067,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5696310172389192,0.5696310172389192,0.02528228698661324,3.6899904727935793,0.7440157024687597
30,12,501,0.6011803443585266,4.099166631698608,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5480291825873297,0.5480291825873297,0.006090573459194791,5.115295457839966,0.7659986761910117
31,12,501,0.5605482045937034,3.982455015182495,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5667264624577015,0.5667264624577015,0.028946697013676647,4.6712644577026365,0.8614037593698569
32,13,543,0.5462851043188287,4.728554964065552,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 100.0}",0.5717140818296553,0.5717140818296553,0.027611564363058578,6.257418394088745,0.9241895481734822
33,13,543,0.5487944801027755,4.429267883300781,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5662621608683608,0.5662621608683608,0.027684213250429534,4.240520429611206,0.7606772096876161
34,13,543,0.600399493653472,4.422440052032471,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5475649692792244,0.5475649692792244,0.006737289092455479,5.52836046218872,0.8472564370703829
35,13,543,0.5651290647780849,4.3158910274505615,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.565459356923548,0.565459356923548,0.030838037049491077,5.530940437316895,0.8206572720573184
36,15,626,0.5543833826272452,2.321486711502075,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5709219999047699,0.5709219999047699,0.03050915921132189,6.353249883651733,0.9902844747884582
37,15,626,0.552782783941018,5.022736310958862,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5685974253118656,0.5685974253118656,0.02518820598358246,6.417968368530273,0.9939915107947369
38,15,626,0.5993306672078729,4.971129417419434,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5503933730647104,0.5503933730647104,0.007365402641737153,5.935471105575561,1.2393787628983262
39,15,626,0.5640655237794867,4.929326057434082,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5651094031360737,0.5651094031360737,0.02974654207312637,6.3653168201446535,1.0306254200045393
40,17,710,0.5540262380231717,3.0470566749572754,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.569588604242724,0.569588604242724,0.02837257397480651,7.136465930938721,1.1659560730077445
41,17,710,0.555011180747955,5.597032070159912,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5695711624305229,0.5695711624305229,0.025562001219158127,7.1466827392578125,1.1452678124581255
42,17,710,0.6028008163406336,5.71021294593811,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.546047882550311,0.546047882550311,0.007246287667224725,6.587539625167847,1.4010949991507606
43,17,710,0.5634786437957167,5.754079341888428,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.565812457197116,0.565812457197116,0.028169912523728344,6.5227031230926515,1.3886909273210803
44,18,751,0.5547590304137179,6.01685094833374,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.572789421775946,0.572789421775946,0.02973668854729457,5.808114671707154,1.3321859862532905
45,18,751,0.5525572952509417,6.028187036514282,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5709628254120661,0.5709628254120661,0.02517745761835358,6.908659601211548,1.4451778224931926
46,18,751,0.5978248610138603,6.042653799057007,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5480736127151375,0.5480736127151375,0.0052829617044765935,6.93480339050293,1.4675661726106948
47,18,751,0.5629461305406598,5.934651136398315,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5656998804021233,0.5656998804021233,0.030979469382979814,6.939697551727295,1.5385182052462065
48,20,835,0.5554559218837476,6.553317308425903,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5698036902425121,0.5698036902425121,0.029316566347577008,6.040105152130127,1.5287735443457502
49,20,835,0.5483205304855987,6.552929639816284,"{'regressor__fourier_random_features__gamma': 0.0412346222116529, 'regressor__svm__C': 6.30957344480193}",0.5684553884576445,0.5684553884576445,0.0275178184579153,8.370619964599609,1.3757950398745007
