,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,0.001,5,0.5293728873069747,1.8332586288452148,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 0.1}",0.6068812679556822,0.6068812679556822,0.01627034229550445,2.4888566970825194,0.2987388877907953
1,0.001,5,0.5704253956889014,1.8856103420257568,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 1000000.0}",0.5978809554985351,0.5978809554985351,0.019762242900143667,3.0548227787017823,0.6754532248593107
2,0.001,5,0.5962286493222171,2.073578119277954,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 0.1}",0.6156269541013455,0.6156269541013455,0.023267671226321587,2.8017232418060303,0.15547531990783095
3,0.001,5,0.6136327648998644,1.7077336311340332,"{'fourier_random_features__gamma': 0.018518518518518517, 'svm__C': 0.1}",0.5943492030065579,0.5943492030065579,0.0200331249102331,2.140409469604492,0.2972667599026813
4,0.001,58,0.7588277006326891,91.24174618721008,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 63.0957344480193}",0.7566820299172152,0.7566820299172152,0.0032849058755996534,78.73807082176208,24.583523033533627
5,0.001,58,0.7557571960647973,67.76638150215149,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 39810.71705534969}",0.7571410038706098,0.7571410038706098,0.003997719852951068,96.63237471580506,29.96709062558285
6,0.001,58,0.7495542260745045,71.26316022872925,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 1000000.0}",0.7569298677107877,0.7569298677107877,0.0034486531067987837,108.97559967041016,22.602439188884887
7,0.001,58,0.7586211644509924,54.9511239528656,"{'fourier_random_features__gamma': 7.233796296296296e-05, 'svm__C': 39810.71705534969}",0.7550870965897419,0.7550870965897419,0.0018911489576247567,99.66477417945862,30.283111233350198
8,0.01,145,0.767770717300159,121.92181301116943,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.7698728055821661,0.7698728055821661,0.0022402319841944344,221.2985803604126,77.89143950219564
9,0.01,145,0.7706966465408632,234.48912692070007,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 63.0957344480193}",0.7706071588992925,0.7706071588992925,0.002712790230813772,216.01173496246338,37.36147732241944
10,0.01,145,0.7697190419474985,85.83738827705383,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 2.5118864315095797}",0.7704556810797021,0.7704556810797021,0.002731598343182333,141.33151202201844,10.169526488154924
11,0.01,145,0.7703661886501484,222.90118432044983,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.7720873258100173,0.7720873258100173,0.0027743201970921233,179.055814743042,32.08269656986755
12,0.025,290,0.782641322382326,1123.4431312084198,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.7871484086364986,0.7871484086364986,0.0030977766774131672,1715.2488426685334,385.6592268502279
13,0.025,290,0.7863933963498172,697.6256403923035,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1584.8931924611109}",0.7871254640163055,0.7871254640163055,0.0027447076503309326,1321.6334384918214,477.36577058249327
14,0.025,290,0.7850440266293983,1055.102518081665,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 63.0957344480193}",0.7873618255236822,0.7873618255236822,0.0015593038563563681,1380.2740198612214,580.2795556611833
15,0.025,290,0.7895189772328283,1388.1662285327911,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.7856934605167145,0.7856934605167145,0.0026202093426538355,1370.0314819812775,291.4480126961594
16,0.05,435,0.7981521896277529,4826.197848320007,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.798351844662612,0.798351844662612,0.00140640619397059,4807.746196985245,889.7194020822553
17,0.05,435,0.798214150482262,3723.793468952179,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.7981751403105369,0.7981751403105369,0.0008615184643687632,3981.161989212036,1012.6936861915515
18,0.05,435,0.7966651291195362,3481.812749147415,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.798312834310815,0.798312834310815,0.0014208287595711372,4662.032670688629,926.2871831852129
19,0.05,435,0.799233062311966,3400.2175056934357,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.7979135183816709,0.7979135183816709,0.0020346534788259663,4416.699801492691,1229.5114511596446
20,0.075,581,0.8032329796974933,4907.105145454407,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.8033362534613312,0.8033362534613312,0.001902958195964186,9490.030149412156,2443.4169088913077
21,0.075,581,0.803191672461154,6948.676022768021,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.8031182425470096,0.8031182425470096,0.00181026975586259,8545.189266347885,1254.0795864013685
22,0.075,581,0.8036529366002768,4552.6043157577515,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 39810.71705534969}",0.8045502240858935,0.8045502240858935,0.0012499997294349832,5992.709650707245,1349.4976109733807
23,0.075,581,0.8018147645831756,4638.089668273926,"{'fourier_random_features__gamma': 0.0011574074074074073, 'svm__C': 1000000.0}",0.8033982005074547,0.8033982005074547,0.002605369720122075,5518.242631626129,1467.2936965978647
