,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,0.001,5,0.5988585433691559,0.26581788063049316,"{'fourier_random_features__gamma': 0.00020460265659332975, 'ridge_classification__alpha': 0.0001}",0.5866405964410422,0.5866405964410422,0.04233872455111839,0.2990128040313721,0.011059072813667394
1,0.001,5,0.6125312385974816,0.2644169330596924,"{'fourier_random_features__gamma': 1.808449074074074e-05, 'ridge_classification__alpha': 3.1622776601683795}",0.5993013782537481,0.5993013782537481,0.03380422390213543,0.30151829719543455,0.008593426592150575
2,0.001,5,0.5504946541551637,0.2681410312652588,"{'fourier_random_features__gamma': 0.026189140043946207, 'ridge_classification__alpha': 100.0}",0.5973187406550214,0.5973187406550214,0.035557377376380324,0.2980551242828369,0.00891203541789519
3,0.001,5,0.5673686601997894,0.2637050151824951,"{'fourier_random_features__gamma': 0.026189140043946207, 'ridge_classification__alpha': 0.1}",0.5925087824447614,0.5925087824447614,0.02066894073163571,0.30246925354003906,0.007913701561922218
4,0.01,58,0.7521496974244938,0.7153630256652832,"{'fourier_random_features__gamma': 1.808449074074074e-05, 'ridge_classification__alpha': 0.0001}",0.7552408468948457,0.7552408468948457,0.002811790616183142,0.5830932140350342,0.016335741607810567
5,0.01,58,0.7562735365190392,0.6044027805328369,"{'fourier_random_features__gamma': 1.808449074074074e-05, 'ridge_classification__alpha': 0.0001}",0.7546946942281452,0.7546946942281452,0.003720200828321148,0.5833179473876953,0.01847911731698316
6,0.01,58,0.7446248958713417,0.6494662761688232,"{'fourier_random_features__gamma': 1.808449074074074e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.7546786315510281,0.7546786315510281,0.003554316990161277,0.5921672821044922,0.013480915753554071
7,0.01,58,0.7570308358519273,0.6109888553619385,"{'fourier_random_features__gamma': 1.808449074074074e-05, 'ridge_classification__alpha': 0.0001}",0.7540750739127349,0.7540750739127349,0.002080214038118465,0.5805282592773438,0.011855998150775902
8,0.05,290,0.7786414049967987,2.5514450073242188,"{'fourier_random_features__gamma': 0.00020460265659332975, 'ridge_classification__alpha': 0.0001}",0.7818358379415866,0.7818358379415866,0.0019350570170332088,2.302397680282593,0.10508438866336794
9,0.05,290,0.7808444576015642,2.864427089691162,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0031622776601683794}",0.7812460679670458,0.7812460679670458,0.0032963955542380866,2.439467525482178,0.042099393917371636
10,0.05,290,0.7794055888690767,2.719473123550415,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0031622776601683794}",0.7814801341329215,0.7814801341329215,0.0018836879705492172,2.4538522243499754,0.05268304152507947
11,0.05,290,0.777794606651842,2.7315378189086914,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.1}",0.7810670605055938,0.7810670605055938,0.0012904774610249662,2.4557161808013914,0.0216701911957697
12,0.1,581,0.7970782014829297,6.413036108016968,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0031622776601683794}",0.798480354005414,0.798480354005414,0.0010413929798565957,5.533704710006714,0.07712828474276309
13,0.1,581,0.7979800761430057,6.098505020141602,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0001}",0.7996897425311358,0.7996897425311358,0.0022407478535238774,5.543623971939087,0.1033249201235986
14,0.1,581,0.7986754146213848,5.989129066467285,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0001}",0.7991481566908417,0.7991481566908417,0.0017719325106405222,5.3539575099945065,0.08097629272000689
15,0.1,581,0.7988750662636916,5.977632999420166,"{'fourier_random_features__gamma': 0.0023148148148148147, 'ridge_classification__alpha': 0.0001}",0.7994763138209817,0.7994763138209817,0.0011689269020155164,5.458632612228394,0.07541159849303672
