,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,0.001,5,0.5789553399929778,1.8149895668029785,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.6010432828741875,0.6010432828741875,0.01650769713565027,2.563938283920288,0.3935781045399006
1,0.001,5,0.5852340399165594,1.6386644840240479,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 0.1}",0.6033976901975053,0.6033976901975053,0.025251669543343933,2.580552577972412,0.2787041857297707
2,0.001,5,0.5916986224036681,1.677764892578125,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.5960565441866684,0.5960565441866684,0.008203794434576252,2.2291708469390867,0.28741087875929516
3,0.001,5,0.6202419227141608,1.755117654800415,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.5997948331236647,0.5997948331236647,0.021791605914263733,2.0208202362060548,0.3447917654203485
4,0.001,58,0.7425388804362044,17.96681022644043,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.7489896889152023,0.7489896889152023,0.004848062450092652,28.343768978118895,15.490761159152159
5,0.001,58,0.7417402738669769,16.887149810791016,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.749377520658616,0.749377520658616,0.0038561920471193024,33.51660842895508,10.836934916299828
6,0.001,58,0.7507659050071255,15.181505680084229,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 5.623413251903491}",0.7527601061292603,0.7527601061292603,0.006494431218078773,29.807239770889282,10.463083914071055
7,0.001,58,0.7457057685555548,18.76826763153076,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.7483127136585865,0.7483127136585865,0.006871206596959841,23.22672061920166,4.968569242179274
8,0.01,145,0.7763350843011848,111.74197745323181,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.7727000565987978,0.7727000565987978,0.0029574033936655133,169.4658549785614,70.1305862759451
9,0.01,145,0.7780149119123185,117.46356678009033,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.7753918938948723,0.7753918938948723,0.0020023297164064573,172.75047817230225,65.52256582745231
10,0.01,145,0.7736432293997371,182.2736120223999,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.775157829124581,0.775157829124581,0.003634492049185424,257.1285048961639,179.15358913288483
11,0.01,145,0.771288716928394,132.1357123851776,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.7725531802845718,0.7725531802845718,0.004659257853107246,342.5789362430572,198.87497789444964
12,0.025,290,0.7962107495198034,772.3347501754761,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.79160729145454,0.79160729145454,0.0013635191927272748,1040.6698441505432,370.247553921591
13,0.025,290,0.7923622920008537,624.7147119045258,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.7920708440836435,0.7920708440836435,0.0030916609601822527,616.587313747406,174.6511901790352
14,0.025,290,0.7910198068198248,849.1658356189728,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.7919859469403161,0.7919859469403161,0.002213634102912538,698.9923612117767,199.03487540619696
15,0.025,290,0.797511927464493,1349.2912015914917,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.7911620863113413,0.7911620863113413,0.001042334054466969,788.1593640327453,406.84165658624374
16,0.05,435,0.7994051757967133,1550.4022719860077,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.7999834856274821,0.7999834856274821,0.002163158413952873,2716.726124000549,869.4121692339621
17,0.05,435,0.8022897978010781,3038.8278987407684,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.8008555271255627,0.8008555271255627,0.0021355255755510965,2602.519138813019,490.1267727230944
18,0.05,435,0.7980971133126338,2569.154105424881,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.802090147186808,0.802090147186808,0.0013432306588195538,2687.323325395584,889.6816901640935
19,0.05,435,0.7986409919244353,2023.0399639606476,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.799609411476925,0.799609411476925,0.0021172711441714127,3026.8422636032105,1369.1618354677971
20,0.075,581,0.8071502826103419,5430.803874731064,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.8064824881679662,0.8064824881679662,0.0019231392912426387,5888.644501256943,1160.236719004694
21,0.075,581,0.8062484079502661,4922.41669011116,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 1000000.0}",0.8068175317965809,0.8068175317965809,0.0019265644277595762,7017.540443658829,2751.57145495455
22,0.075,581,0.8041968152120782,2775.51961517334,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 17782.794100389227}",0.8083298400185998,0.8083298400185998,0.002211793606766581,7053.636404514313,890.6328223037339
23,0.075,581,0.8071365135315621,5582.153235673904,"{'nystroem__gamma': 0.004629629629629629, 'svm__C': 316.22776601683796}",0.8068083466651326,0.8068083466651326,0.0010492286369134737,6747.350079107285,2029.6968685206475
