percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,7,0.7630208333333333,0.028645833333333315,0.001238703727722168,3.946187616607389e-05,0.7708170914542729,0.012076675812895909,0.7708170914542729,0.037272100686891005,0.0010716676712036132,8.931351624217712e-05
2,15,0.7643229166666666,0.04107242264475913,0.0013821125030517578,1.2338017495093928e-05,0.7786319340329835,0.016322307828558324,0.7786319340329835,0.03231654120858736,0.0011816740036010743,9.656464900317833e-05
3,23,0.7682291666666667,0.03692043458009848,0.0017368793487548828,0.00036668207768105995,0.7764655172413794,0.014963316322824743,0.7764655172413794,0.03518054718332871,0.0013426542282104492,0.00018656036645069724
4,30,0.7591145833333333,0.035587631168532405,0.0016229748725891113,3.219373718955519e-05,0.7795052473763118,0.016062860346576353,0.7795052473763118,0.03882505803572651,0.0014521479606628418,0.00018690757778451722
5,38,0.7721354166666666,0.03726325005534944,0.0024679899215698242,0.0006064453075576915,0.7786356821589205,0.015767552826102895,0.7786356821589205,0.04151051533823946,0.0015156865119934082,0.00011490054362007302
6,46,0.77734375,0.033425775138003766,0.002125978469848633,0.00017428194284877728,0.7795127436281859,0.017497486752868958,0.7795127436281859,0.04101119899933911,0.0017837762832641601,0.0002783068642525171
7,53,0.7760416666666666,0.03273386742181392,0.0028723478317260742,0.00046109532183929845,0.7782083958020989,0.016354459515278297,0.7782083958020989,0.04234332540325514,0.001793062686920166,0.00012954707840025838
8,61,0.7734375,0.036551220957339065,0.004942476749420166,0.00044459853285542226,0.7799475262368816,0.018479154924224625,0.7799475262368816,0.041944263888558556,0.002201521396636963,0.00034886962108486005
9,69,0.77734375,0.03689746696693948,0.004410982131958008,0.0007844438111403991,0.7790817091454273,0.0163170395552076,0.7790817091454273,0.040950004200593915,0.0021893978118896484,0.00019387187409584787
10,76,0.7747395833333334,0.03726325005534945,0.0032851696014404297,0.00025183717868692103,0.7786431784107946,0.016315352401291887,0.7786431784107946,0.04203439584116908,0.002426886558532715,0.00018107441343158664
11,84,0.7734375,0.036551220957339065,0.005076110363006592,0.0013846714514718702,0.7795127436281859,0.01701855392401312,0.7795127436281859,0.040928779508925414,0.0026142239570617677,0.00011020101842647523
12,92,0.7734375,0.03385416666666668,0.006633341312408447,0.003966257990742892,0.7786506746626686,0.015613881108437144,0.7786506746626686,0.0425938327301022,0.003006553649902344,0.00022615331850388664
13,99,0.7734375,0.03764800076771085,0.004383504390716553,0.0003451148411338862,0.7777773613193404,0.015635145052485117,0.7777773613193404,0.03993951661881859,0.003088104724884033,0.00010403835488435858
14,107,0.7721354166666667,0.03816237210873138,0.005065619945526123,0.0002724946204254308,0.7786431784107946,0.016315352401291887,0.7786431784107946,0.03946329902066831,0.0035175085067749023,0.00043191776142032255
15,115,0.7786458333333334,0.033043170678253984,0.006102502346038818,0.0006357323417223779,0.778212143928036,0.014915131592506715,0.778212143928036,0.0423397051193411,0.0038496851921081543,0.00030901153387934605
16,122,0.7721354166666667,0.03816237210873138,0.006850183010101318,0.0006024078501113699,0.778212143928036,0.016360725134975725,0.778212143928036,0.040676138302104134,0.004096591472625733,0.0002948320429227777
17,130,0.7760416666666666,0.033954179193763825,0.008529603481292725,0.0023258163910012545,0.7782121439280361,0.014915131592506719,0.7782121439280361,0.041128053940220066,0.004737186431884766,0.0002590286751089441
18,138,0.77734375,0.033425775138003766,0.007692515850067139,0.00023676023568851604,0.7777773613193404,0.014894686050804533,0.7777773613193404,0.04067558665574904,0.005101597309112549,0.000121821236069349
19,145,0.7747395833333334,0.03462170781330296,0.00890648365020752,0.000787261406405388,0.7782121439280361,0.014915131592506719,0.7782121439280361,0.041128053940220066,0.005631446838378906,0.00025643542024639276
20,153,0.7734375000000001,0.036365208447314945,0.022267818450927734,0.011164287753221593,0.7790817091454273,0.0163170395552076,0.7790817091454273,0.039104523240681525,0.006461870670318603,0.0008262366122179078
