percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,7,0.73046875,0.035966737804513364,0.0009962916374206543,4.877696130920986e-05,0.7638793103448277,0.014900366715420551,0.7638793103448277,0.04146008611874222,0.0007971763610839844,8.321181745535097e-05
2,15,0.7695312500000001,0.04090697414688805,0.0012360215187072754,0.0001446193307276427,0.775603448275862,0.011598857166400524,0.775603448275862,0.03149020257946927,0.0009457945823669433,6.688763477420119e-05
3,23,0.76953125,0.03904079257959624,0.001522839069366455,0.0002674432381996781,0.7760157421289356,0.013671085249202675,0.7760157421289356,0.032682371241586676,0.001298367977142334,0.00013097428493754641
4,30,0.7682291666666666,0.03692043458009848,0.0019600391387939453,0.0005950381094557302,0.7769152923538231,0.015064606884062233,0.7769152923538231,0.032607736397036007,0.0014992713928222655,9.199392156833052e-05
5,38,0.7786458333333333,0.0394081925792228,0.0019717812538146973,0.00025867022502089494,0.7782008995502249,0.012778205142065846,0.7782008995502249,0.03539672436854323,0.0016145229339599608,9.983665228216553e-05
6,46,0.7708333333333333,0.044652156769484995,0.0026097893714904785,0.0006885765983120433,0.7799512743628186,0.018098403123034033,0.7799512743628186,0.03556728230889869,0.002128446102142334,0.00014570813500326923
7,53,0.7708333333333334,0.04247267299557314,0.0023031234741210938,0.00042067020960232936,0.777754872563718,0.015776240528080847,0.777754872563718,0.039058933465373036,0.0020018577575683593,0.00024520342376492017
8,61,0.7708333333333334,0.04199092577238827,0.003451228141784668,0.000982240629892657,0.7777698650674663,0.014439537814976165,0.7777698650674663,0.035963435267269306,0.00294189453125,0.0004050301988536084
9,69,0.7669270833333334,0.033425775138003745,0.00452876091003418,0.002267522052784949,0.77821964017991,0.01758856928742297,0.77821964017991,0.04030631919422238,0.002762758731842041,0.00026607911280971584
10,76,0.77734375,0.03442527100625594,0.004806041717529297,0.001084023249322332,0.7821139430284857,0.017134578935773272,0.7821139430284857,0.04076354073718986,0.0035836935043334957,0.0003979780129574537
11,84,0.7604166666666666,0.03189439769248927,0.005255699157714844,0.0010952392386672264,0.7795052473763118,0.016068946353458576,0.7795052473763118,0.03130800384297524,0.003677856922149658,0.0002683808711603819
12,92,0.7669270833333334,0.03382911733532964,0.005157411098480225,0.001047836247410994,0.7799325337331334,0.015113613163033912,0.7799325337331334,0.038833652470763376,0.0037857055664062503,0.0003142860378900211
13,99,0.7682291666666666,0.03425246468220291,0.003955185413360596,0.00021117025582827916,0.7790929535232384,0.016712864553345214,0.7790929535232384,0.037212606308854555,0.0031528711318969723,0.00022549276889775855
14,107,0.7708333333333333,0.04215211993812148,0.006302177906036377,0.0027078397882001966,0.7812406296851574,0.020629893196429314,0.7812406296851574,0.030319916892318714,0.004279303550720215,0.0002809158762706557
15,115,0.7682291666666666,0.04621937330546576,0.006232738494873047,0.0025007519676592447,0.7799437781109444,0.015642313577056418,0.7799437781109444,0.033030632232435624,0.004887104034423828,0.0006434221525397964
16,122,0.7682291666666667,0.0399211190540518,0.007184326648712158,0.0022857685953566443,0.7769152923538231,0.01503078835616226,0.7769152923538231,0.02943166719640726,0.004781544208526611,0.0003235754634565659
17,130,0.7695312499999999,0.03322226776607572,0.005481421947479248,0.0013741134104902236,0.7773425787106446,0.01847640229864137,0.7773425787106446,0.03275722339463843,0.004053771495819092,0.00025347753990402155
18,138,0.7591145833333334,0.032185435141427805,0.01049661636352539,0.0065208448585052994,0.7790817091454274,0.01885252762987009,0.7790817091454274,0.032717572354823005,0.004551112651824951,0.0003465178614230652
19,145,0.7734375,0.039921119054051796,0.016317665576934814,0.004118189524906882,0.7808095952023988,0.01650499332298283,0.7808095952023988,0.03732846349712399,0.004702460765838624,0.0007192611846590089
20,153,0.7747395833333334,0.04140133618641834,0.011562764644622803,0.002495163465112655,0.7799437781109446,0.015155502153332584,0.7799437781109446,0.03145940904763458,0.006249678134918213,0.001997841596126074
