,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,0,1,0.7601254446016752,0.007292270660400391,"{'nystroem__gamma': 0.011497671238805652, 'ridge_classification__alpha': 0.0031622776601683794}",0.7574054326163694,0.7574054326163694,0.004000599959686091,0.008484363555908203,0.00012978934598413663
1,0,65,0.8435002103491797,0.023550987243652344,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8400380348807094,0.8400380348807094,0.006266456158078496,0.019111204147338866,0.0008480432081665246
2,1,129,0.8454507209240065,0.07153511047363281,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8428444448767818,0.8428444448767818,0.004721868839128698,0.0372988224029541,0.007026715469085755
3,2,193,0.8450682678701189,0.06998586654663086,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8415968813343337,0.8415968813343337,0.004751555140092599,0.059814167022705075,0.002405655794707526
4,2,257,0.8446475695108425,0.08946490287780762,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8437801175336179,0.8437801175336179,0.005366033725686346,0.07879858016967774,0.005307653803378846
5,3,321,0.8443416070677324,0.12580180168151855,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8428442016870076,0.8428442016870076,0.0033087791199612085,0.10868616104125976,0.0038746423172692016
6,4,385,0.8450300225647301,0.15642094612121582,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8417530091694705,0.8417530091694705,0.002884384548574613,0.1510334014892578,0.017658381302843106
7,4,449,0.845718438061728,0.18146014213562012,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8444034129252934,0.8444034129252934,0.003266501892452536,0.18044600486755372,0.019998897489333808
8,5,514,0.8440356446246223,0.21476292610168457,"{'nystroem__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8423761829662586,0.8423761829662586,0.0027544287179163073,0.21831979751586914,0.01415385383894136
9,6,578,0.8448770413431751,0.2506520748138428,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8425320676116211,0.8425320676116211,0.0024075497305677844,0.2584343433380127,0.019560294194385028
10,6,642,0.8456037021455617,0.2827930450439453,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8425318244218467,0.8425318244218467,0.002839000321447106,0.3392968654632568,0.0139688102885323
11,7,706,0.8456037021455617,0.33589696884155273,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8415968813343337,0.8415968813343337,0.0029948728787493367,0.3961801052093506,0.03150068914545932
12,8,770,0.8452977397024515,0.40233612060546875,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8423761829662586,0.8423761829662586,0.0027099589176746443,0.47391514778137206,0.10210844516321607
13,9,834,0.8453359850078402,0.4376401901245117,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8439349078249958,0.8439349078249958,0.003509778367048915,0.562115478515625,0.12269341366275421
14,9,898,0.8458331739778943,0.5126891136169434,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8426881954467579,0.8426881954467579,0.0031937338101207147,0.678782606124878,0.13775540707811085
15,10,963,0.8444945882892875,0.5785348415374756,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8423766693458073,0.8423766693458073,0.004342734191117208,0.7282405853271484,0.06765280729619969
16,11,1027,0.8454507209240065,0.713446855545044,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8422202983208962,0.8422202983208962,0.003429119659572225,0.898249626159668,0.2674039273125994
17,11,1091,0.8455654568401728,0.7342498302459717,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8417524011950345,0.8417524011950345,0.0036561522965160033,1.028672170639038,0.16673229597524244
18,12,1155,0.8456037021455617,0.9072239398956299,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8422201767260091,0.8422201767260091,0.00285515417359831,1.2147680282592774,0.1822660006333975
19,13,1219,0.8449152866485639,0.8746838569641113,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8423765477509202,0.8423765477509202,0.0031083596659097754,1.3829294204711915,0.22093267387295346
20,13,1283,0.8441121352353999,0.9681661128997803,"{'nystroem__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8420644136755339,0.8420644136755339,0.003245957591648142,1.4888800144195558,0.0714396887885524
